game_date,player,team,opp,stat,side,line,pred_mean,p_hit,minutes_proj,edge_raw,edge_norm,edge_rank_pct,score_safe,score_balanced,score_lotto,rank_score,overall_rank,overall_rank_pct,stat_rank,stat_rank_pct,team_rank,player_rank,edge_tier,can_safe,can_balanced,can_lotto,baseline_mean,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,minutes_conf,prob_edge,stat_vol_penalty,extreme_line_penalty,reb_top_bucket_bonus,ast_extreme_tail_penalty,score
2025-01-02,Amir Coffey,LAC,OKC,fg3,under,2.5,1.031196096680184,0.9006677443865776,24.259999799999996,1.468803903319816,1.0305946683027498,0.9741100323624595,1.0363224561148383,1.2670923537370706,1.4401047270456429,1.4587020213578366,1,1.0,1,1.0,1,1,tier_1,1,1,1,1.1142857142857143,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.6738888833333332,0.4006677443865776,0.1,0.0,0.0,0.0,1.2670923537370706
2025-01-02,Deni Avdija,POR,LAL,fg3,under,2.5,1.0737949917778777,0.8921038663798698,29.033333199999998,1.4262050082221223,0.9903735806120166,0.9611650485436893,1.055845120646297,1.2538500797818033,1.4110402868488137,1.4494705194479278,2,0.996,2,0.9830508474576272,1,1,tier_1,1,1,1,1.7000000000000002,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.8064814777777777,0.3921038663798698,0.1,0.0,0.0,0.0,1.2538500797818033
2025-01-02,Norman Powell,LAC,OKC,ast,over,0.5,1.9909853108799707,0.8634391957116732,36.983333599999995,1.4909853108799707,0.8621170312795613,0.9787234042553191,1.1538545851712938,1.2019696867782306,1.2663758862079588,1.42928468663284,3,0.992,1,1.0,2,1,tier_1,1,1,1,1.7999999999999998,poisson,0.0,1,ok,ast_hgbr,v1,1.0,0.36343919571167316,0.04,0.0,0.0,0.06,1.2019696867782306
2025-01-02,Taurean Prince,MIL,BRK,fg3,under,2.5,1.0725896640903627,0.892349304215381,23.18666659999999,1.4274103359096373,0.9914987548871752,0.9644012944983819,1.00309472716831,1.2237558310644443,1.388051858527686,1.4143170933363047,4,0.988,3,0.9661016949152542,1,1,tier_1,1,1,1,0.8484848484848485,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.644074072222222,0.39234930421538095,0.1,0.0,0.0,0.0,1.2237558310644443
2025-01-02,Max Christie,LAL,POR,reb,over,1.5,2.9915272452348582,0.7995826465264044,29.086666799999996,1.4915272452348582,0.7465547136354386,0.9880952380952381,0.9192574056980553,1.2692862711482744,1.4141960958591258,1.4135913974915244,5,0.984,1,1.0,1,1,tier_1,1,1,1,2.0,poisson,0.0,1,ok,reb_hgbr,v1,0.8079629666666666,0.29958264652640443,0.03,0.0,0.16,0.0,1.2692862711482744
2025-01-02,Bennedict Mathurin,IND,MIA,ast,over,0.5,1.963593723415969,0.859646876790626,34.6299998,1.463593723415969,0.8501806283474659,0.9756838905775076,1.1294284217760748,1.1805838611090504,1.2458702164653823,1.4061316484071718,6,0.98,2,0.9841269841269841,1,1,tier_1,1,1,1,2.0,poisson,0.0,1,ok,ast_hgbr,v1,0.9619444388888889,0.359646876790626,0.04,0.0,0.0,0.06,1.1805838611090504
2025-01-02,Caleb Martin,PHI,GSW,ast,under,2.5,1.254746915107699,0.8674036451616151,35.4633338,1.245253084892301,0.8292943863852275,0.9665653495440729,1.1415927975992508,1.1757321179165123,1.2309385262820527,1.403824717501141,7,0.976,3,0.9682539682539683,1,1,tier_1,1,1,1,1.4000000000000001,poisson,0.0,1,ok,ast_hgbr,v1,0.9850926055555556,0.36740364516161506,0.04,0.0,0.0,0.06,1.1757321179165123
2025-01-02,Amir Coffey,LAC,OKC,ast,under,2.5,1.1734018921958682,0.885203378642077,24.259999799999996,1.3265981078041318,0.8998484089247526,0.9878419452887538,1.0765792225337047,1.1871777049219352,1.270842871758963,1.4026366621529787,8,0.972,4,0.9523809523809523,3,2,tier_1,1,1,1,0.2,poisson,0.0,1,ok,ast_hgbr,v1,0.6738888833333332,0.385203378642077,0.04,0.0,0.0,0.06,1.1871777049219352
2025-01-02,Scoot Henderson,POR,LAL,fg3,under,2.5,1.1254396944448897,0.8814271544028263,26.446667399999995,1.3745603055551103,0.9428430512278655,0.9385113268608414,1.0030195776411543,1.1938139209583782,1.3421067387722068,1.3846645214477364,9,0.968,4,0.9491525423728814,2,1,tier_1,1,1,1,1.395505617977528,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.7346296499999999,0.38142715440282626,0.1,0.0,0.0,0.0,1.1938139209583782
2025-01-02,Reggie Jackson,PHI,GSW,fg3,under,2.5,1.0443729106882873,0.8980434705824165,13.576666799999995,1.4556270893117127,1.0180522554836686,0.970873786407767,0.93123200558988,1.1980886669826212,1.380350834852365,1.3793500980850555,10,0.964,5,0.9322033898305084,2,1,tier_1,0,0,1,0.75,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.37712963333333316,0.3980434705824165,0.1,0.0,0.0,0.0,1.1980886669826212
2025-01-02,Luke Kornet,BOS,MIN,ast,under,2.5,1.1465552158231844,0.8908654536804544,17.209999999999994,1.3534447841768156,0.9237820316897566,0.9908814589665653,1.0198564394448304,1.1720976849831286,1.2709076763619893,1.3785096471898266,11,0.96,5,0.9365079365079365,1,1,tier_1,0,1,1,1.0,poisson,0.0,1,ok,ast_hgbr,v1,0.4780555555555554,0.39086545368045444,0.04,0.0,0.0,0.06,1.1720976849831286
2025-01-02,Derrick Jones Jr.,LAC,OKC,ast,under,2.5,1.203858727328078,0.8786492214514133,24.2799994,1.296141272671922,0.8730929151558252,0.9817629179331308,1.0571196805050627,1.1588323774008304,1.2385494237836248,1.3744936310212867,12,0.956,6,0.9206349206349206,4,1,tier_1,1,1,1,1.0,poisson,0.0,1,ok,ast_hgbr,v1,0.6744444277777778,0.37864922145141333,0.04,0.0,0.0,0.06,1.1588323774008304
2025-01-02,Rui Hachimura,LAL,POR,ast,over,0.5,1.9095220293348993,0.8518488184060496,34.146666999999994,1.4095220293348993,0.8263443136793803,0.9574468085106383,1.103973731306826,1.1505466000043512,1.2139979068505664,1.3727666789647583,13,0.952,7,0.9047619047619048,2,1,tier_1,1,1,1,0.5999999999999999,poisson,0.0,1,ok,ast_hgbr,v1,0.9485185277777776,0.35184881840604965,0.04,0.0,0.0,0.06,1.1505466000043512
2025-01-02,Kris Dunn,LAC,OKC,fg3,under,2.5,1.1665872403602262,0.8727105136655039,29.886666399999996,1.3334127596397738,0.9058921912491832,0.9288025889967637,1.0112390962513946,1.1758327454756456,1.3109999695567953,1.369761303486446,14,0.948,6,0.9152542372881356,5,1,tier_2,1,1,1,1.3951219512195123,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.8301851777777777,0.3727105136655039,0.1,0.0,0.0,0.0,1.1758327454756456
