game_date,player,team,opp,stat,side,line,pred_mean,p_hit,minutes_proj,edge_raw,edge_norm,edge_rank_pct,score_safe,score_balanced,score_lotto,rank_score,overall_rank,overall_rank_pct,stat_rank,stat_rank_pct,team_rank,player_rank,edge_tier,can_safe,can_balanced,can_lotto,baseline_mean,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,edge_abs
2025-01-05,De'Aaron Fox,SAC,GSW,fg3,over,0.5,1.9447888900548667,0.815672634871589,37.9900002,1.4447888900548667,0.9631925933699111,0.7142857142857143,0.8673043956012132,0.8820563272382487,0.8968082588752841,1.3028313732245171,1,1.0,1,1.0,1,1,tier_1,1,1,1,2.078125,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,1.4447888900548667
2025-01-05,Malik Monk,SAC,GSW,reb,over,2.5,3.9832386925793606,0.7594304364569493,32.7666664,1.4832386925793606,0.42378248359410303,0.14285714285714285,0.8397185812396695,0.8626580511775896,0.8855975211155096,1.1735193599519813,2,0.8571428571428571,1,1.0,2,1,tier_2,1,1,1,3.6,poisson,0.0,1,ok,reb_hgbr,v1,1.4832386925793606
2025-01-05,Vasilije Micić,CHA,CLE,ast,over,1.5,2.94376285065674,0.7922931451155848,22.523333399999995,1.4437628506567401,0.5775051402626961,0.42857142857142855,0.8518683182265202,0.868889796258216,0.885911274289912,1.1063166884618492,3,0.7142857142857143,1,1.0,1,1,tier_3,1,1,1,3.8000000000000003,poisson,0.0,1,ok,ast_hgbr,v1,1.4437628506567401
2025-01-05,Lindy Waters III,GSW,SAC,reb,over,1.5,2.9469863551342352,0.7927923846145608,17.56666599999999,1.4469863551342352,0.5787945420536941,0.5714285714285714,0.8529449744441698,0.870131428681201,0.8873178829182322,1.0722583674169899,4,0.5714285714285714,2,0.75,1,1,tier_4,1,1,1,2.4,poisson,0.0,1,ok,reb_hgbr,v1,1.4469863551342352
2025-01-05,Cory Joseph,ORL,UTA,reb,over,0.5,1.889102341582273,0.8487925193984052,10.396666679999997,1.389102341582273,0.9260682277215153,0.8571428571428571,0.8758388012290513,0.8835663103235216,0.891293819417992,1.0432305771133965,5,0.42857142857142855,3,0.5,1,1,tier_4,1,1,1,1.0,poisson,0.0,0,minutes_lt_12|pred_mean_lt_2,reb_hgbr,v1,1.389102341582273
2025-01-05,Isaiah Joe,OKC,BOS,reb,over,1.5,2.9294087483553675,0.7900571187907318,16.69333319999999,1.4294087483553675,0.571763499342147,0.2857142857142857,0.8470656128112377,0.8633537539599537,0.8796418951086697,1.0282794434107128,6,0.2857142857142857,4,0.25,1,1,tier_4,1,1,1,2.2,poisson,0.0,1,ok,reb_hgbr,v1,1.4294087483553675
2025-01-05,Cason Wallace,OKC,BOS,ast,over,0.5,1.9858620047786937,0.8627377576030907,0.0,1.4858620047786937,0.9905746698524625,1.0,0.9074804457564354,0.9202640709431053,0.9330476961297751,0.9896720493536431,7,0.14285714285714285,2,0.5,2,1,tier_4,1,1,1,2.3636363636363638,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,1.4858620047786937
