game_date,player,team,opp,stat,pred_mean,baseline_mean,minutes_proj,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,line,side,p_hit,edge_raw,edge_abs,score_safe,score_balanced,score_lotto,game_key,ticket_type,leg_order,ticket_id
2025-01-03,Larry Nance Jr.,ATL,LAL,ast,1.9696288651104144,1.6,0.0,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,0.5,over,0.8604913768743566,1.4696288651104144,1.4696288651104144,0.9022325682186463,0.9141586228884434,0.9260846775582405,ATL_LAL,balanced,1,2025-01-03_balanced_1
2025-01-03,Jalen Pickett,DEN,SAS,ast,1.9638642907838861,2.625,0.0,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,0.5,over,0.8596848466288205,1.4638642907838861,1.4638642907838861,0.9003632571129023,0.9119856601083542,0.9236080631038062,DEN_SAS,balanced,2,2025-01-03_balanced_1
2025-01-03,Kyshawn George,WAS,NOP,ast,1.9550714252338215,1.2,26.133333199999992,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.858445634220623,1.4550714252338215,1.4550714252338215,0.8975061017870036,0.9086662353773982,0.9198263689677926,NOP_WAS,balanced,3,2025-01-03_balanced_1
2025-01-03,Jaylen Wells,MEM,SAC,ast,1.9437236135551275,1.6,28.223333599999997,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.8568301531839762,1.4437236135551275,1.4437236135551275,0.8938082181533685,0.904373379573195,0.9149385409930214,MEM_SAC,balanced,4,2025-01-03_balanced_1
