game_date,player,team,opp,stat,pred_mean,baseline_mean,minutes_proj,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,line,side,p_hit,edge_raw,edge_norm,minutes_conf,prob_edge,stat_vol_penalty,extreme_line_penalty,edge_rank_pct,reb_top_bucket_bonus,ast_extreme_tail_penalty,score_safe,score_balanced,score_lotto,can_safe,can_balanced,can_lotto,score
2025-01-08,Aaron Wiggins,OKC,CLE,ast,1.3159218149706093,1.4,22.01,poisson,0.0,1,ok,ast_hgbr,v1,2.5,under,0.8534302852952924,1.1840781850293907,0.7780695745877233,0.611388888888889,0.3534302852952924,0.04,0.0,0.9292452830188679,0.0,0.0,1.0253966551546958,1.1046669747328388,1.1132520918463948,1,1,1,1.1046669747328388
2025-01-08,Aaron Wiggins,OKC,CLE,fg3,1.3179184856891801,1.780952380952381,22.01,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,2.5,under,0.8393238579002426,1.1820815143108199,0.7764229181745685,0.611388888888889,0.33932385790024255,0.1,0.0,0.8519480519480519,0.0,0.0,0.8542920601992853,1.0039428262297565,1.1174016651704923,1,1,1,1.0039428262297565
2025-01-08,Aaron Wiggins,OKC,CLE,pts,8.468248277328094,12.015798319327732,22.01,nbinom,0.05344975309597418,1,ok,pts_composed,v1,9.5,under,0.6469385313413174,1.0317517226719062,0.33530527356371104,0.611388888888889,0.1469385313413174,0.06,0.0,0.7754137115839244,0.0,0.0,0.4934486749441127,0.5077513293749382,0.5217131199613173,0,1,1,0.5077513293749382
2025-01-08,Aaron Wiggins,OKC,CLE,reb,3.222021788972738,3.1999999999999997,22.01,poisson,0.0,1,ok,reb_hgbr,v1,4.5,under,0.7766798974046947,1.277978211027262,0.6219610874437614,0.611388888888889,0.2766798974046947,0.03,0.0,0.9030732860520094,0.16,0.0,0.7787965461485101,1.0988941032832817,1.2135642098653396,1,1,1,1.0988941032832817
2025-01-08,Alex Sarr,WAS,PHI,ast,2.137339936257501,2.8,25.7866668,poisson,0.0,1,ok,ast_hgbr,v1,3.5,under,0.8315295168531793,1.3626600637424988,0.7693194971835786,0.7162963,0.33152951685317933,0.04,0.0,0.9221698113207547,0.0,0.0,1.0298128069073282,1.097637935720105,1.1074363836477614,1,1,1,1.097637935720105
2025-01-08,Alex Sarr,WAS,PHI,fg3,1.3991137043164839,1.3106382978723405,25.7866668,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,2.5,under,0.8207357743332121,1.1008862956835161,0.7107502967683658,0.7162963,0.3207357743332121,0.1,0.0,0.7896103896103897,0.0,0.0,0.8436120279656386,0.9566961437099943,1.0506744473284693,1,1,1,0.9566961437099943
2025-01-08,Alex Sarr,WAS,PHI,pts,12.226159438305057,12.67488347433208,25.7866668,nbinom,0.05344975309597418,1,ok,pts_composed,v1,13.5,under,0.6413360375387648,1.2738405616949429,0.35026617254710646,0.7162963,0.14133603753876478,0.06,0.0,0.7990543735224587,0.0,0.0,0.5268075005867551,0.5348266050255214,0.550242614339175,0,1,1,0.5348266050255214
2025-01-08,Alex Sarr,WAS,PHI,reb,5.912052654759356,8.2,25.7866668,poisson,0.0,1,ok,reb_hgbr,v1,4.5,over,0.7029990025028204,1.4120526547593562,0.5370903788410045,0.7162963,0.20299900250282044,0.03,0.0,0.8274231678486997,0.07,0.0,0.688189311153696,0.879567452377512,0.9804405106738553,1,1,1,0.879567452377512
2025-01-08,Amir Coffey,LAC,DEN,ast,1.4857784719908174,1.0,26.8333332,poisson,0.0,1,ok,ast_hgbr,v1,2.5,under,0.81240818350962,1.0142215280091826,0.6432823171236909,0.7453703666666667,0.31240818350961996,0.04,0.0,0.8183962264150944,0.0,0.0,0.9652818460297811,0.9810623324074178,0.965535792671024,1,1,1,0.9810623324074178
2025-01-08,Amir Coffey,LAC,DEN,fg3,1.4500086352713064,2.421052631578947,26.8333332,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,2.5,under,0.808907959723183,1.0499913647286936,0.6708136942033563,0.7453703666666667,0.30890795972318297,0.1,0.0,0.7324675324675325,0.0,0.0,0.8250287569149567,0.9208200868157205,1.0045999964714427,1,1,1,0.9208200868157205
2025-01-08,Amir Coffey,LAC,DEN,pts,10.228454291168038,14.94551083591331,26.8333332,nbinom,0.05344975309597418,1,ok,pts_composed,v1,11.5,under,0.6548975665371801,1.2715457088319617,0.3794652306669732,0.7453703666666667,0.15489756653718012,0.06,0.0,0.8321513002364066,0.0,0.0,0.5643500486752081,0.5760429671556884,0.5933027509225373,0,1,1,0.5760429671556884
2025-01-08,Amir Coffey,LAC,DEN,reb,3.4861543192034796,3.2,26.8333332,poisson,0.0,1,ok,reb_hgbr,v1,4.5,under,0.7280565769420422,1.0138456807965204,0.47866839236980485,0.7453703666666667,0.22805657694204218,0.03,0.0,0.7446808510638298,0.0,0.0,0.7112741456438316,0.7872222874435644,0.8503845323958977,1,1,1,0.7872222874435644
2025-01-08,Andre Jackson Jr.,MIL,SAS,ast,1.562459283001472,1.6,15.7166664,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.7903800779286031,1.062459283001472,0.6637183254364017,0.43657406666666665,0.2903800779286031,0.04,0.0,0.8372641509433962,0.0,0.0,0.8241646778348632,0.9127350641460666,0.9302996046239582,0,1,1,0.9127350641460666
2025-01-08,Andre Jackson Jr.,MIL,SAS,reb,4.165413174036577,2.4,15.7166664,poisson,0.0,1,ok,reb_hgbr,v1,5.5,under,0.7587725817633301,1.3345868259634228,0.5872111597234015,0.43657406666666665,0.25877258176333007,0.03,0.0,0.8888888888888888,0.07,0.0,0.683224458324679,0.9189327554144512,1.0295525023454422,0,1,1,0.9189327554144512
