game_date,player,team,opp,stat,pred_mean,baseline_mean,minutes_proj,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,line,side,p_hit,edge_raw,edge_norm,minutes_conf,prob_edge,stat_vol_penalty,extreme_line_penalty,edge_rank_pct,reb_top_bucket_bonus,ast_extreme_tail_penalty,score_safe,score_balanced,score_lotto,can_safe,can_balanced,can_lotto,score,delta_mean,confidence_tier,pred_pctile_within_stat,delta_pctile_within_stat,minutes_pctile_within_stat,dispersion_pctile_good,baseline_available,zero_baseline_flag,rel_delta_vs_baseline,rel_delta_pctile_within_stat,confidence_score,stat_broad_weight,stat_top_pick_weight,stat_variance_penalty,top_pick_bucket,top_bucket_bonus,ast_tail_penalty,rank_score
2025-01-08,Jakob Poeltl,TOR,NYK,reb,13.116617909434218,8.2,30.983333399999985,poisson,0.0,1,ok,reb_hgbr,v1,14.5,under,0.6631750443978037,1.3833820905657817,0.36819409487609134,0.8606481499999996,0.16317504439780373,0.03,0.0,0.05813953488372093,0.0,0.0,0.7282186046511628,0.9310104651162792,0.9543139534883721,0,1,1,0.6526432699635137,0.0,high_conf,0.9883720930232558,0.5058139534883721,0.6627906976744186,0.5058139534883721,1,0,0.0,0.5058139534883721,1.0,0.98,1.14,0.02,elite,0.16,0.0,0.8557195930232558
2025-01-08,Deandre Ayton,POR,NOP,reb,12.652793149411632,10.4,31.043332999999997,poisson,0.0,1,ok,reb_hgbr,v1,11.5,over,0.6106900060269101,1.1527931494116324,0.3119899696044311,0.8623148055555555,0.11069000602691015,0.03,0.0,0.011627906976744186,0.0,0.0,0.7289023255813954,0.9308872093023257,0.9529883720930232,0,1,1,0.5524830690714339,0.0,high_conf,0.9767441860465116,0.5058139534883721,0.6744186046511628,0.5058139534883721,1,0,0.0,0.5058139534883721,1.0,0.98,1.14,0.02,elite,0.16,0.0,0.8556185465116279
2025-01-08,Victor Wembanyama,SAS,MIL,reb,8.227437576457387,14.4,33.86666679999998,poisson,0.0,1,ok,reb_hgbr,v1,9.5,under,0.6880339617252557,1.2725624235426132,0.418927178955022,0.940740744444444,0.18803396172525566,0.03,0.0,0.16279069767441862,0.0,0.0,0.7742558139534885,0.8815779069767442,0.8881,1,1,1,0.7376774850334133,0.0,high_conf,0.9302325581395349,0.5058139534883721,0.8488372093023255,0.5058139534883721,1,0,0.0,0.5058139534883721,1.0,0.98,1.14,0.02,strong,0.08,0.0,0.8402795930232559
2025-01-08,Ivica Zubac,LAC,DEN,reb,13.203777451473872,13.2,29.64666699999999,poisson,0.0,1,ok,reb_hgbr,v1,14.5,under,0.654176576277071,1.2962225485261278,0.34393600505200655,0.8235185277777775,0.15417657627707104,0.03,0.0,0.03488372093023256,0.0,0.0,0.7004139534883721,0.9112895348837211,0.9426488372093023,0,1,1,0.6151394724840009,0.0,high_conf,1.0,0.5058139534883721,0.5697674418604651,0.5058139534883721,1,0,0.0,0.5058139534883721,1.0,0.98,1.14,0.02,elite,0.16,0.0,0.8347791279069767
2025-01-08,Josh Hart,NYK,TOR,ast,6.4203227077640745,7.2,42.55000079999999,poisson,0.0,1,ok,ast_hgbr,v1,7.5,under,0.6843716429891715,1.0796772922359255,0.396353384358399,1.0,0.18437164298917152,0.04,0.0,0.022727272727272728,0.0,0.0,0.9046909090909094,0.8125698863636365,0.7139204545454546,1,1,1,0.7047628413762251,0.0,high_conf,0.9431818181818182,0.5056818181818182,1.0,0.5056818181818182,1,0,0.0,0.5056818181818182,1.0,1.08,0.98,0.03,strong,0.0,0.0,0.8247559375000002
2025-01-08,Isaiah Hartenstein,OKC,CLE,reb,11.267741450212228,10.4,29.39666719999999,poisson,0.0,1,ok,reb_hgbr,v1,12.5,under,0.6590731483964646,1.2322585497877725,0.35181919690117086,0.8165740888888886,0.15907314839646458,0.03,0.0,0.046511627906976744,0.0,0.0,0.683093023255814,0.8967453488372094,0.9293930232558139,0,1,1,0.6252830462518771,0.0,high_conf,0.9651162790697675,0.5058139534883721,0.5465116279069767,0.5058139534883721,1,0,0.0,0.5058139534883721,1.0,0.98,1.14,0.02,elite,0.16,0.0,0.8194463372093023
2025-01-08,Josh Hart,NYK,TOR,reb,7.303646778878127,13.2,42.55000079999999,poisson,0.0,1,ok,reb_hgbr,v1,8.5,under,0.6887316041108724,1.196353221121873,0.4151690686749333,1.0,0.18873160411087242,0.03,0.0,0.12790697674418605,0.0,0.0,0.805479069767442,0.820682558139535,0.8131372093023255,1,1,1,0.7477560955759921,0.0,high_conf,0.8604651162790697,0.5058139534883721,1.0,0.5058139534883721,1,0,0.0,0.5058139534883721,1.0,0.98,1.14,0.02,core,0.0,0.0,0.8127148255813954
2025-01-08,Jamal Murray,DEN,LAC,ast,6.064511204591205,5.8,37.25333319999999,poisson,0.0,1,ok,ast_hgbr,v1,7.5,under,0.7350513346744768,1.4354887954087951,0.5400808119067236,1.0,0.2350513346744768,0.04,0.0,0.23863636363636365,0.0,0.0,0.8894727272727275,0.8015676136363638,0.7054568181818183,1,1,1,0.872784319990116,0.0,high_conf,0.9204545454545454,0.5056818181818182,0.9772727272727273,0.5056818181818182,1,0,0.0,0.5056818181818182,1.0,1.08,0.98,0.03,strong,0.0,0.0,0.8127019602272729
2025-01-08,Bobby Portis,MIL,SAS,reb,8.775195456630774,9.2,28.2699996,poisson,0.0,1,ok,reb_hgbr,v1,7.5,over,0.6491262118563139,1.2751954566307742,0.40786273931118194,0.7852777666666666,0.14912621185631392,0.03,0.0,0.10465116279069768,0.0,0.0,0.6721534883720932,0.8881174418604652,0.9225,0,1,1,0.6561565848085238,0.0,high_conf,0.9534883720930233,0.5058139534883721,0.5232558139534884,0.5058139534883721,1,0,0.0,0.5058139534883721,1.0,0.98,1.14,0.02,elite,0.16,0.0,0.8103275
2025-01-08,Tyrese Maxey,PHI,WAS,ast,5.967471427777852,6.6000000000000005,37.206666599999984,poisson,0.0,1,ok,ast_hgbr,v1,4.5,over,0.710565860756345,1.467471427777852,0.5559452908873354,1.0,0.21056586075634498,0.04,0.0,0.2840909090909091,0.0,0.0,0.8818636363636365,0.7960664772727273,0.7012250000000001,1,1,1,0.8618976144412478,0.0,high_conf,0.9090909090909091,0.5056818181818182,0.9659090909090909,0.5056818181818182,1,0,0.0,0.5056818181818182,1.0,1.08,0.98,0.03,strong,0.0,0.0,0.8066749715909092
