game_date,player,team,opp,stat,pred_mean,baseline_mean,minutes_proj,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,line,side,p_hit
2025-01-08,Aaron Wiggins,OKC,CLE,pts,8.468248277328094,12.015798319327732,22.01,nbinom,0.05344975309597418,1,ok,pts_composed,v1,8.5,under,0.5400336196147701
2025-01-08,Aaron Wiggins,OKC,CLE,pts,8.468248277328094,12.015798319327732,22.01,nbinom,0.05344975309597418,1,ok,pts_composed,v1,9.5,under,0.6469385313413174
2025-01-08,Aaron Wiggins,OKC,CLE,reb,3.222021788972738,3.1999999999999997,22.01,poisson,0.0,1,ok,reb_hgbr,v1,2.5,over,0.6246732639782782
2025-01-08,Aaron Wiggins,OKC,CLE,reb,3.222021788972738,3.1999999999999997,22.01,poisson,0.0,1,ok,reb_hgbr,v1,3.5,under,0.5976208099586335
2025-01-08,Aaron Wiggins,OKC,CLE,reb,3.222021788972738,3.1999999999999997,22.01,poisson,0.0,1,ok,reb_hgbr,v1,4.5,under,0.7766798974046947
2025-01-08,Adem Bona,PHI,WAS,ast,0.8340380753960657,0.15789473684210528,,poisson,0.0,0,minutes_lt_10|pred_mean_lt_1,ast_hgbr,v1,0.5,over,0.5657079632321214
2025-01-08,Adem Bona,PHI,WAS,ast,0.8340380753960657,0.15789473684210528,,poisson,0.0,0,minutes_lt_10|pred_mean_lt_1,ast_hgbr,v1,1.5,under,0.7965081312735975
2025-01-08,Adem Bona,PHI,WAS,fg3,0.5159631880854054,0.0,,nbinom,0.16167095985722266,0,minutes_lt_10|fg3a_lt_1p5,fg3_composed,v1,0.5,under,0.6092236321647119
2025-01-08,Adem Bona,PHI,WAS,fg3,0.5159631880854054,0.0,,nbinom,0.16167095985722266,0,minutes_lt_10|fg3a_lt_1p5,fg3_composed,v1,1.5,under,0.8993586227418447
2025-01-08,Adem Bona,PHI,WAS,pts,5.628963891819064,1.8947368421052633,,nbinom,0.05344975309597418,0,minutes_lt_12,pts_composed,v1,4.5,over,0.6303410935901514
2025-01-08,Adem Bona,PHI,WAS,pts,5.628963891819064,1.8947368421052633,,nbinom,0.05344975309597418,0,minutes_lt_12,pts_composed,v1,5.5,under,0.5210340847787456
2025-01-08,Adem Bona,PHI,WAS,pts,5.628963891819064,1.8947368421052633,,nbinom,0.05344975309597418,0,minutes_lt_12,pts_composed,v1,6.5,under,0.6593782828986594
2025-01-08,Adem Bona,PHI,WAS,reb,2.762745463663611,2.0,,poisson,0.0,0,minutes_lt_12,reb_hgbr,v1,1.5,over,0.7625021234061061
2025-01-08,Adem Bona,PHI,WAS,reb,2.762745463663611,2.0,,poisson,0.0,0,minutes_lt_12,reb_hgbr,v1,2.5,over,0.5216188503961184
2025-01-08,Adem Bona,PHI,WAS,reb,2.762745463663611,2.0,,poisson,0.0,0,minutes_lt_12,reb_hgbr,v1,3.5,under,0.7002142061974774
2025-01-08,Ajay Mitchell,OKC,CLE,ast,1.7318795089113719,1.676470588235294,,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,0.5,over,0.8230484847212413
2025-01-08,Ajay Mitchell,OKC,CLE,ast,1.7318795089113719,1.676470588235294,,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,1.5,over,0.5165897813391414
2025-01-08,Ajay Mitchell,OKC,CLE,ast,1.7318795089113719,1.676470588235294,,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,2.5,under,0.7487849930183618
2025-01-08,Ajay Mitchell,OKC,CLE,fg3,0.6204254580754434,0.6470588235294118,,nbinom,0.16167095985722266,0,minutes_lt_10,fg3_composed,v1,0.5,under,0.5536373476635235
2025-01-08,Ajay Mitchell,OKC,CLE,fg3,0.6204254580754434,0.6470588235294118,,nbinom,0.16167095985722266,0,minutes_lt_10,fg3_composed,v1,1.5,under,0.8658151292068678
2025-01-08,Ajay Mitchell,OKC,CLE,pts,7.070927925365684,6.411764705882353,,nbinom,0.05344975309597418,0,minutes_lt_12,pts_composed,v1,6.5,over,0.5359432364169994
2025-01-08,Ajay Mitchell,OKC,CLE,pts,7.070927925365684,6.411764705882353,,nbinom,0.05344975309597418,0,minutes_lt_12,pts_composed,v1,7.5,under,0.590979197208645
