file,season,n_rows,mp_dtype,mp_sample_1,mp_sample_2,mp_sample_3
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065236_b3f58cb4.parquet,2026,57,object,,03:14,02:46
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065241_3c997613.parquet,2026,55,object,,02:11,09:05
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065246_925bc871.parquet,2026,58,object,30:27,22:54,20:42
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065251_eaf195a2.parquet,2026,57,object,28:40,29:42,35:19
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065256_7ecaebb5.parquet,2026,54,object,18:02,21:19,19:51
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065302_686189e9.parquet,2026,55,object,,14:27,08:18
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065306_05b16428.parquet,2026,54,object,,06:49,14:48
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065312_9577c1ed.parquet,2026,55,object,,07:28,12:41
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065317_61c27b29.parquet,2026,56,object,13:37,13:08,09:47
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065322_f45a841a.parquet,2026,41,object,,03:01,03:20
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065327_be8817a8.parquet,2026,55,object,03:51,04:46,
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065333_0b5b4097.parquet,2026,54,object,07:38,24:37,20:47
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065337_d6f5f733.parquet,2026,55,object,15:47,34:33,
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065343_7c9835a4.parquet,2026,59,object,,13:34,22:15
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065348_c906774b.parquet,2026,55,object,32:54,36:15,24:08
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065353_6f97cd95.parquet,2026,54,object,23:18,17:45,
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065358_a526a774.parquet,2026,53,object,25:21,17:42,25:56
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065404_2ec41653.parquet,2026,54,object,,11:30,05:20
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065409_667e1e72.parquet,2026,55,object,15:50,27:42,32:33
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065414_98699fa9.parquet,2026,57,object,03:50,07:38,04:52
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065419_b699c7bd.parquet,2026,57,object,34:33,37:03,39:58
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065424_6801211b.parquet,2026,56,object,,13:27,02:53
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065429_3c3618b9.parquet,2026,55,object,29:06,32:43,35:18
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065435_f758796b.parquet,2026,31,object,,02:51,01:44
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065440_6d145546.parquet,2026,54,object,21:27,,15:35
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065445_2f3cd210.parquet,2026,57,object,,,
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065451_46595bd0.parquet,2026,55,object,10:19,19:17,21:00
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065455_46d45d1f.parquet,2026,56,object,,04:40,21:21
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065500_ba71e189.parquet,2026,43,object,,14:03,00:57
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065506_7a18cb29.parquet,2026,55,object,16:58,18:27,12:38
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065511_fce96b97.parquet,2026,57,object,,11:09,08:03
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065516_3e82119d.parquet,2026,57,object,,14:28,16:36
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065523_026856b4.parquet,2026,55,object,,03:12,11:10
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065527_7952572c.parquet,2026,56,object,,04:46,12:39
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065532_9f3ab2d3.parquet,2026,56,object,17:09,15:40,21:44
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065538_877580d7.parquet,2026,55,object,,02:59,03:59
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065543_9f51e120.parquet,2026,57,object,33:29,36:26,45:00
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065548_6c56efa9.parquet,2026,55,object,22:34,25:20,24:52
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065555_3b6f2f83.parquet,2026,56,object,,04:25,02:05
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065600_2ac69248.parquet,2026,55,object,04:04,,11:45
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065606_7bbdf5c7.parquet,2026,40,object,,06:23,03:03
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065612_abac59e1.parquet,2026,16,object,10:17,05:50,00:04
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065617_de56f4a5.parquet,2026,56,object,45:07,27:43,
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065622_2f0c66ef.parquet,2026,55,object,41:24,41:43,41:31
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065628_fef88c2a.parquet,2026,56,object,25:52,32:17,
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065634_ef572daf.parquet,2026,55,object,,15:09,08:51
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065639_72a5b677.parquet,2026,54,object,29:06,33:27,29:57
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065645_b189d64f.parquet,2026,56,object,,11:26,15:07
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065650_5532bc20.parquet,2026,56,object,,01:13,00:01
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065656_90b4dc97.parquet,2026,57,object,28:59,27:02,35:09
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065701_c3c627bf.parquet,2026,57,object,,07:45,03:17
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065706_cb5be041.parquet,2026,55,object,08:08,06:25,07:25
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065713_026a884a.parquet,2026,56,object,,21:03,17:25
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065719_6e5fd327.parquet,2026,56,object,28:22,26:20,30:21
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065724_3c9719b2.parquet,2026,54,object,28:31,29:50,20:17
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065730_21124f78.parquet,2026,55,object,,06:55,06:37
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065736_a4e86513.parquet,2026,55,object,,26:24,11:24
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065741_6326e019.parquet,2026,56,object,,03:59,02:46
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065747_ae7d82ca.parquet,2026,55,object,14:11,,14:19
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065754_b55150b1.parquet,2026,57,object,14:36,38:07,28:45
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065800_cca88e7d.parquet,2026,57,object,34:46,20:33,23:57
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065808_9c223d47.parquet,2026,56,object,35:53,34:52,33:24
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065814_cf7cdb38.parquet,2026,56,object,35:56,34:14,34:02
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065820_19f317a6.parquet,2026,56,object,10:46,03:58,02:11
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065825_5c81fc1b.parquet,2026,57,object,27:23,20:50,24:29
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065831_d02f7ced.parquet,2026,56,object,,21:16,22:08
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065836_850754bd.parquet,2026,44,object,,09:55,18:08
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065842_8e825db0.parquet,2026,54,object,28:41,21:36,27:14
data\gamelogs\gamelogs_parquet\season=2026\part_20260219_065848_d422d8df.parquet,2026,56,object,,13:24,23:37
