file,season,n_rows,mp_dtype,mp_sample_1,mp_sample_2,mp_sample_3
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160543_4c368bc5.parquet,2026,55,object,03:51,04:46,
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160550_c48b1be3.parquet,2026,56,object,34:23,34:46,35:04
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160558_1ff57554.parquet,2026,55,object,09:16,03:28,04:32
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160605_230b61ea.parquet,2026,56,object,,06:49,02:47
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160612_af2a8438.parquet,2026,56,object,34:44,38:34,26:43
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160620_ca59be94.parquet,2026,56,object,33:46,12:24,32:21
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160626_ccb3640d.parquet,2026,54,object,,00:27,00:09
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160633_73241692.parquet,2026,54,object,30:43,23:04,23:17
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160641_b8facf5e.parquet,2026,57,object,34:44,32:44,33:00
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160648_c56539f6.parquet,2026,54,object,07:52,03:46,13:54
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_160654_847135eb.parquet,2026,57,object,14:37,,12:51
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_171841_b57d02f7.parquet,2026,57,object,,01:06,02:04
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_171846_4a494d98.parquet,2026,54,object,29:01,26:13,25:56
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_171851_229f2d22.parquet,2026,57,object,,02:45,08:51
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_171857_f68e356b.parquet,2026,54,object,,12:12,08:03
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_171902_d20a58ff.parquet,2026,54,object,29:30,31:07,31:00
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_171908_07ed959c.parquet,2026,57,object,30:11,,23:39
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_171914_59656c30.parquet,2026,54,object,,,
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_171919_7010d0dc.parquet,2026,55,object,28:32,33:27,30:05
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_171924_6a0c6a07.parquet,2026,54,object,05:48,,05:56
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_171930_92336954.parquet,2026,55,object,25:24,35:58,31:20
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_171935_865a9642.parquet,2026,55,object,08:11,04:46,
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_171940_c28263f9.parquet,2026,55,object,25:57,29:29,26:38
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_171946_0d643b93.parquet,2026,55,object,04:04,00:17,
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_171951_9acbc6fe.parquet,2026,57,object,,01:14,13:45
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_171956_aa5539dd.parquet,2026,54,object,,16:34,03:52
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172002_a6985382.parquet,2026,57,object,16:28,13:27,15:21
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172007_71048bad.parquet,2026,56,object,13:09,15:34,14:58
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172012_8d5213ad.parquet,2026,57,object,18:05,20:18,23:16
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172018_e447399b.parquet,2026,57,object,23:41,,15:53
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172023_bf280c23.parquet,2026,57,object,30:01,21:39,23:59
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172029_a7cf2fb8.parquet,2026,53,object,12:30,02:47,07:49
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172034_35836def.parquet,2026,57,object,,26:19,15:47
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172040_b4b60e00.parquet,2026,55,object,27:51,23:59,26:29
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172046_8911e2ea.parquet,2026,56,object,,20:34,18:50
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172051_0ee37070.parquet,2026,52,object,12:43,09:12,24:30
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172056_8902d4a5.parquet,2026,54,object,01:42,,02:21
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172102_9d10bdb1.parquet,2026,54,object,,24:24,26:31
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172108_027b4ab6.parquet,2026,54,object,22:13,22:12,23:39
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172113_ed430902.parquet,2026,54,object,,02:31,02:06
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172118_a3c8cd0d.parquet,2026,35,object,,02:51,01:44
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172124_bb3c210c.parquet,2026,54,object,34:16,39:18,37:44
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172129_d583dedf.parquet,2026,35,object,17:54,14:11,
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172135_603f3fbd.parquet,2026,56,object,32:04,36:58,27:19
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172141_dbbd567f.parquet,2026,56,object,,00:31,03:37
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172146_b30f4ba6.parquet,2026,57,object,22:44,32:09,27:14
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172151_b02866b7.parquet,2026,54,object,18:15,24:23,23:40
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172157_29a6fa54.parquet,2026,55,object,32:29,37:39,34:32
