stat,n,mean_pred,mean_actual,mae,bias,rmse,beat_projection_rate,beat_baseline_rate
ast,1540,2.7885751580146154,2.8214285714285716,1.4739724991478627,0.03285341341395585,1.9526199855563886,0.4584415584415584,0.4662337662337662
fg3,1540,1.3762381147532035,1.4123376623376624,1.0095009217591302,0.03609954758445893,1.3475100540840528,0.4090909090909091,0.4597402597402597
pts,1540,11.97029024900921,11.918181818181818,4.919031402696692,-0.05210843082739228,6.349885129017168,0.4474025974025974,0.4662337662337662
reb,1540,4.735200197012511,4.526623376623377,2.076375526301598,-0.2085768203891347,2.686625097731836,0.3987012987012987,0.4525974025974026
