stat,top_score_threshold,n,beat_projection_rate,avg_overperformance
ast,0.9,155,0.43870967741935485,-0.20013504558685175
ast,0.95,78,0.46153846153846156,-0.15856127103997628
fg3,0.9,155,0.47096774193548385,0.006564171333609339
fg3,0.95,78,0.46153846153846156,-0.009029958451472257
pts,0.9,155,0.44516129032258067,0.28827700503864023
pts,0.95,78,0.41025641025641024,0.005467546494529302
reb,0.9,155,0.5741935483870968,1.111362921042634
reb,0.95,78,0.6282051282051282,1.469831989719669
