game_date,player,team,opp,stat,side,line,pred_mean,p_hit,minutes_proj,edge_raw,edge_norm,edge_rank_pct,score_safe,score_balanced,score_lotto,rank_score,overall_rank,overall_rank_pct,stat_rank,stat_rank_pct,team_rank,player_rank,edge_tier,can_safe,can_balanced,can_lotto,baseline_mean,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,edge_abs
2025-01-07,Max Christie,LAL,DAL,ast,over,0.5,1.979333176615548,0.8618386641896909,32.68000019999999,1.479333176615548,0.9862221177436986,1.0,0.9053726428152529,0.9178109224225564,0.9302492020298598,1.3140579327275212,1,1.0,1,1.0,1,1,tier_1,1,1,1,1.9999999999999998,poisson,0.0,1,ok,ast_hgbr,v1,1.479333176615548
2025-01-07,Christian Braun,DEN,BOS,ast,over,0.5,1.9576681590944383,0.8588127363957547,33.473334,1.4576681590944383,0.9717787727296255,0.8235294117647058,0.8983506223643803,0.9096471612125592,0.9209437000607379,1.2963097539755768,2,0.9411764705882353,2,0.9090909090909091,1,1,tier_2,1,1,1,3.4,poisson,0.0,1,ok,ast_hgbr,v1,1.4576681590944383
2025-01-07,Walker Kessler,UTA,ATL,ast,over,0.5,1.9597768886032962,0.8591101484537909,30.47999979999999,1.4597768886032962,0.9731845924021975,0.8823529411764706,0.8990359767594797,0.9104433562753909,0.921850735791302,1.273042388894696,3,0.8823529411764706,3,0.8181818181818182,1,1,tier_2,1,1,1,2.2,poisson,0.0,1,ok,ast_hgbr,v1,1.4597768886032962
2025-01-07,Rui Hachimura,LAL,DAL,ast,over,0.5,1.9554262308822101,0.8584958496002788,28.103333399999986,1.4554262308822101,0.9702841539214734,0.7647058823529411,0.897621529713212,0.9088002954597643,0.9199790612063167,1.2358938909809067,4,0.8235294117647058,4,0.7272727272727273,2,1,tier_3,1,1,1,0.8,poisson,0.0,1,ok,ast_hgbr,v1,1.4554262308822101
2025-01-07,Andrew Wiggins,GSW,MIA,fg3,over,0.5,1.969368678752303,0.8190824531715946,30.9333334,1.469368678752303,0.9795791191682021,0.6470588235294118,0.8752560577020985,0.8913056589965282,0.9073552602909578,1.2346445323415225,5,0.7647058823529411,1,1.0,1,1,tier_3,1,1,1,1.7309090909090907,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,1.469368678752303
2025-01-07,Quentin Grimes,DAL,LAL,ast,over,1.5,2.9707977313089495,0.796447376811064,29.87999979999999,1.4707977313089495,0.5883190925235798,0.17647058823529413,0.8608767034420075,0.87928508247942,0.8976934615168324,1.1649090939310878,6,0.7058823529411765,5,0.6363636363636364,1,1,tier_3,1,1,1,4.2,poisson,0.0,1,ok,ast_hgbr,v1,1.4707977313089495
2025-01-07,Kyshawn George,WAS,HOU,ast,over,0.5,1.887772266164785,0.8485912682355738,24.81000019999999,1.387772266164785,0.9251815107765234,0.29411764705882354,0.8753976372493643,0.8830565998247331,0.8907155624001017,1.1305595416873273,7,0.6470588235294118,6,0.5454545454545454,1,1,tier_4,1,1,1,0.9999999999999999,poisson,0.0,1,ok,ast_hgbr,v1,1.387772266164785
2025-01-07,Brice Sensabaugh,UTA,ATL,reb,over,1.5,2.9978986542640307,0.8005376470776238,22.1966672,1.4978986542640307,0.5991594617056123,0.47058823529411764,0.8698589235890939,0.8896650025923712,0.9094710815956484,1.12770723194402,8,0.5882352941176471,1,1.0,2,1,tier_4,1,1,1,4.4,poisson,0.0,1,ok,reb_hgbr,v1,1.4978986542640307
2025-01-07,Sam Hauser,BOS,DEN,reb,over,1.5,2.9996469080438617,0.8007989820809482,19.05666659999999,1.4996469080438617,0.5998587632175447,0.5882352941176471,0.870436716951265,0.8903332126284984,0.9102297083057318,1.108729793555053,9,0.5294117647058824,2,0.75,1,1,tier_4,1,1,1,1.8,poisson,0.0,1,ok,reb_hgbr,v1,1.4996469080438617
2025-01-07,Jaden Hardy,DAL,LAL,ast,over,0.5,1.8702210171012796,0.8459103983857594,20.90333359999999,1.3702210171012796,0.9134806780675198,0.058823529411764705,0.869559783129026,0.876316750198531,0.8830737172680356,1.0613272178452302,10,0.47058823529411764,7,0.45454545454545453,2,1,tier_4,1,1,1,1.7999999999999998,poisson,0.0,1,ok,ast_hgbr,v1,1.3702210171012796
2025-01-07,Reed Sheppard,HOU,WAS,reb,over,0.5,1.967616032560391,0.8602102865777741,0.0,1.467616032560391,0.978410688373594,0.9411764705882353,0.901580198910636,0.9134001738628823,0.9252201488151286,0.9770348013458934,11,0.4117647058823529,3,0.5,1,1,tier_4,1,1,1,1.2666666666666668,poisson,0.0,0,minutes_lt_12|pred_mean_lt_2,reb_hgbr,v1,1.467616032560391
