game_date,player,team,opp,stat,pred_mean,baseline_mean,minutes_proj,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,line,side,p_hit,edge_raw,edge_abs,score_safe,score_balanced,score_lotto,game_key,ticket_type,leg_order,ticket_id
2025-01-07,Max Christie,LAL,DAL,ast,1.979333176615548,1.9999999999999998,32.68000019999999,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.8618386641896909,1.479333176615548,1.479333176615548,0.9053726428152529,0.9178109224225564,0.9302492020298598,DAL_LAL,safe,1,2025-01-07_safe_1
2025-01-07,Reed Sheppard,HOU,WAS,reb,1.967616032560391,1.2666666666666668,0.0,poisson,0.0,0,minutes_lt_12|pred_mean_lt_2,reb_hgbr,v1,0.5,over,0.8602102865777741,1.467616032560391,1.467616032560391,0.901580198910636,0.9134001738628823,0.9252201488151286,HOU_WAS,safe,2,2025-01-07_safe_1
2025-01-07,Walker Kessler,UTA,ATL,ast,1.9597768886032962,2.2,30.47999979999999,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.8591101484537909,1.4597768886032962,1.4597768886032962,0.8990359767594797,0.9104433562753909,0.921850735791302,ATL_UTA,safe,3,2025-01-07_safe_1
2025-01-07,Max Christie,LAL,DAL,ast,1.979333176615548,1.9999999999999998,32.68000019999999,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.8618386641896909,1.479333176615548,1.479333176615548,0.9053726428152529,0.9178109224225564,0.9302492020298598,DAL_LAL,balanced,1,2025-01-07_balanced_1
2025-01-07,Reed Sheppard,HOU,WAS,reb,1.967616032560391,1.2666666666666668,0.0,poisson,0.0,0,minutes_lt_12|pred_mean_lt_2,reb_hgbr,v1,0.5,over,0.8602102865777741,1.467616032560391,1.467616032560391,0.901580198910636,0.9134001738628823,0.9252201488151286,HOU_WAS,balanced,2,2025-01-07_balanced_1
2025-01-07,Walker Kessler,UTA,ATL,ast,1.9597768886032962,2.2,30.47999979999999,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.8591101484537909,1.4597768886032962,1.4597768886032962,0.8990359767594797,0.9104433562753909,0.921850735791302,ATL_UTA,balanced,3,2025-01-07_balanced_1
2025-01-07,Christian Braun,DEN,BOS,ast,1.9576681590944383,3.4,33.473334,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.8588127363957547,1.4576681590944383,1.4576681590944383,0.8983506223643803,0.9096471612125592,0.9209437000607379,BOS_DEN,balanced,4,2025-01-07_balanced_1
2025-01-07,Max Christie,LAL,DAL,ast,1.979333176615548,1.9999999999999998,32.68000019999999,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.8618386641896909,1.479333176615548,1.479333176615548,0.9053726428152529,0.9178109224225564,0.9302492020298598,DAL_LAL,lotto,1,2025-01-07_lotto_1
2025-01-07,Reed Sheppard,HOU,WAS,reb,1.967616032560391,1.2666666666666668,0.0,poisson,0.0,0,minutes_lt_12|pred_mean_lt_2,reb_hgbr,v1,0.5,over,0.8602102865777741,1.467616032560391,1.467616032560391,0.901580198910636,0.9134001738628823,0.9252201488151286,HOU_WAS,lotto,2,2025-01-07_lotto_1
2025-01-07,Walker Kessler,UTA,ATL,ast,1.9597768886032962,2.2,30.47999979999999,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.8591101484537909,1.4597768886032962,1.4597768886032962,0.8990359767594797,0.9104433562753909,0.921850735791302,ATL_UTA,lotto,3,2025-01-07_lotto_1
2025-01-07,Christian Braun,DEN,BOS,ast,1.9576681590944383,3.4,33.473334,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.8588127363957547,1.4576681590944383,1.4576681590944383,0.8983506223643803,0.9096471612125592,0.9209437000607379,BOS_DEN,lotto,4,2025-01-07_lotto_1
2025-01-07,Rui Hachimura,LAL,DAL,ast,1.9554262308822101,0.8,28.103333399999986,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.8584958496002788,1.4554262308822101,1.4554262308822101,0.897621529713212,0.9088002954597643,0.9199790612063167,DAL_LAL,lotto,5,2025-01-07_lotto_1
