game_date,player,team,opp,stat,pred_mean,baseline_mean,minutes_proj,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,line,side,p_hit,edge_raw,edge_abs,score_safe,score_balanced,score_lotto
2025-01-07,Walker Kessler,UTA,ATL,fg3,0.0,0.0,30.47999979999999,nbinom,0.16167095985722266,0,pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,1.0,-1.5,1.5,0.9999997666668223,0.9999997000002001,0.9999996333335779
2025-01-07,Rudy Gobert,MIN,NOP,fg3,0.0,0.0,31.37333319999999,nbinom,0.16167095985722266,0,pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,1.0,-1.5,1.5,0.9999997666668223,0.9999997000002001,0.9999996333335779
2025-01-07,Clint Capela,ATL,UTA,fg3,0.0,0.0,21.700000199999998,nbinom,0.16167095985722266,0,pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,1.0,-1.5,1.5,0.9999997666668223,0.9999997000002001,0.9999996333335779
2025-01-07,DeAndre Jordan,DEN,BOS,fg3,0.007810199802419275,0.0,9.879999799999993,nbinom,0.16167095985722266,0,minutes_lt_10|pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,0.9999648125596167,-1.4921898001975806,1.4921898001975806,0.9981545160915943,0.9976372885293023,0.9971200609670103
2025-01-07,Nick Richards,CHA,PHO,fg3,0.031796784927779626,0.0,13.216666799999988,nbinom,0.16167095985722266,0,pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,0.9994289404342733,-1.4682032150722204,1.4682032150722204,0.9922093330787812,0.9901465881200693,0.9880838431613572
2025-01-07,Mason Plumlee,PHO,CHA,fg3,0.03338927668444528,0.0,20.733333599999987,nbinom,0.16167095985722266,0,pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,0.9993711842138759,-1.4666107233155548,1.4666107233155548,0.991800210373355,0.9896370749903491,0.9874739396073432
2025-01-07,Luke Kornet,BOS,DEN,fg3,0.039901152700802606,0.0,15.213333199999989,nbinom,0.16167095985722266,0,pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,0.9991070927770787,-1.4600988472991974,1.4600988472991974,0.9901091142152445,0.9875382631975778,0.9849674121799109
2025-01-07,Jonas Valančiūnas,WAS,HOU,fg3,0.10268344308962116,0.044444444444444446,20.596666799999987,nbinom,0.16167095985722266,0,pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,0.9944001856247795,-1.397316556910379,1.397316556910379,0.9724004332416534,0.9661147897036173,0.9598291461655813
2025-01-07,Patty Mills,UTA,ATL,fg3,1.018749378470023,0.7,,nbinom,0.16167095985722266,0,minutes_lt_10,fg3_composed,v1,2.5,under,0.9031255418976889,-1.481250621529977,1.481250621529977,0.9326565168405494,0.9410939382527953,0.9495313596650411
2025-01-07,Malcolm Brogdon,WAS,HOU,fg3,1.036855082172928,0.9375,25.20333319999999,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,2.5,under,0.8995434883974058,-1.463144917827072,1.463144917827072,0.9261035206844618,0.9336921013379064,0.941280681991351
