game_date,player,team,opp,stat,pred_mean,baseline_mean,minutes_proj,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,line,side,p_hit,edge_raw,edge_norm,minutes_conf,prob_edge,stat_vol_penalty,extreme_line_penalty,edge_rank_pct,reb_top_bucket_bonus,ast_extreme_tail_penalty,score_safe,score_balanced,score_lotto,can_safe,can_balanced,can_lotto,score,delta_mean,confidence_tier,pred_pctile_within_stat,delta_pctile_within_stat,minutes_pctile_within_stat,dispersion_pctile_good,baseline_available,zero_baseline_flag,rel_delta_vs_baseline,rel_delta_pctile_within_stat,confidence_score,stat_broad_weight,stat_top_pick_weight,stat_variance_penalty,top_pick_bucket,top_bucket_bonus,ast_tail_penalty,rank_score,ticket_score_col,ticket_id,ticket_type
2025-01-07,Nikola Jokić,DEN,BOS,reb,10.915673058115127,15.000000000000002,37.003333199999986,poisson,0.0,1,ok,reb_hgbr,v1,9.5,over,0.6502680353102759,1.415673058115127,0.4101131338293214,1.0,0.15026803531027588,0.03,0.0,0.11666666666666667,0.0,0.0,0.81202,0.9926116666666667,0.9948899999999999,0,1,1,0.7047358490447124,0.0,high_conf,0.9833333333333333,0.5083333333333333,0.9166666666666666,0.5083333333333333,1,0,0.0,0.5083333333333333,1.0,0.98,1.14,0.02,elite,0.16,0.0,0.9209445833333332,score_lotto,lotto_1,lotto
2025-01-07,Austin Reaves,LAL,DAL,ast,6.166869597689287,10.599999999999998,39.39,poisson,0.0,1,ok,ast_hgbr,v1,7.5,under,0.7207040653088139,1.3331304023107133,0.49797539121511625,1.0,0.22070406530881392,0.04,0.0,0.13793103448275862,0.0,0.0,0.9069931034482759,0.8149491379310345,0.7165586206896553,1,1,1,0.8240506502659302,0.0,high_conf,0.9482758620689655,0.5086206896551724,1.0,0.5086206896551724,1,0,0.0,0.5086206896551724,1.0,1.08,0.98,0.03,strong,0.0,0.0,0.8271690948275863,score_lotto,lotto_1,lotto
2025-01-07,Kevin Durant,PHO,CHA,pts,31.503262899169584,26.799294025709123,37.05000059999999,nbinom,0.05344975309597418,1,ok,pts_composed,v1,32.5,under,0.5740367813110978,0.9967371008304156,0.17483047748632993,1.0,0.07403678131109781,0.06,0.0,0.03508771929824561,0.0,0.0,0.7463262456140352,0.7015355789473684,0.6616109473684211,0,0,1,0.3902353377499147,0.0,medium_conf,1.0,0.5087719298245614,0.9298245614035088,0.5087719298245614,1,0,0.0,0.5087719298245614,0.66,0.97,0.96,0.04,elite,0.0,0.0,0.7094706877192982,score_lotto,lotto_1,lotto
2025-01-07,Tyler Herro,MIA,GSW,fg3,3.81235877401926,3.2867469879518074,38.23333319999999,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,2.5,over,0.6619306514775871,1.31235877401926,0.5982374275363692,1.0,0.16193065147758712,0.1,0.0,0.15384615384615385,0.0,0.0,0.6792443076923076,0.6434697884615384,0.6234754615384616,0,1,1,0.7799270984954909,0.0,low_conf,0.9807692307692307,0.5096153846153846,0.9615384615384616,0.5096153846153846,1,0,0.0,0.5096153846153846,0.33,0.96,0.97,0.06,elite,0.0,0.0,0.6527810144230768,score_lotto,lotto_1,lotto
2025-01-07,Rudy Gobert,MIN,NOP,reb,10.798612359655566,10.600000000000001,31.37333319999999,poisson,0.0,1,ok,reb_hgbr,v1,9.5,over,0.6372399933146822,1.298612359655566,0.3780629037257903,0.8714814777777775,0.13723999331468217,0.03,0.0,0.06666666666666667,0.0,0.0,0.74636,0.9436749999999999,0.96107,0,1,1,0.637192088916244,0.0,high_conf,0.9666666666666667,0.5083333333333333,0.7333333333333333,0.5083333333333333,1,0,0.0,0.5083333333333333,1.0,0.98,1.14,0.02,elite,0.16,0.0,0.86909775,score_lotto,lotto_1,lotto
2025-01-07,Walker Kessler,UTA,ATL,reb,12.09246732789944,13.0,30.47999979999999,poisson,0.0,1,ok,reb_hgbr,v1,13.5,under,0.671737371835636,1.4075326721005599,0.38899832852620303,0.8466666611111109,0.17173737183563598,0.03,0.0,0.08333333333333333,0.0,0.0,0.7332933333333334,0.9359016666666666,0.95955,0,1,1,0.6759434481842612,0.0,high_conf,1.0,0.5083333333333333,0.6666666666666666,0.5083333333333333,1,0,0.0,0.5083333333333333,1.0,0.98,1.14,0.02,elite,0.16,0.0,0.8607704166666668,score_lotto,lotto_1,lotto
2025-01-07,Justin Champagnie,WAS,HOU,reb,7.681784661286205,6.3999999999999995,29.519999999999992,poisson,0.0,1,ok,reb_hgbr,v1,6.5,over,0.6462381849570166,1.1817846612862049,0.40108262075419376,0.8199999999999998,0.14623818495701657,0.03,0.0,0.1,0.0,0.0,0.6780866666666667,0.8101449999999999,0.8388899999999999,0,1,1,0.654859914651272,0.0,high_conf,0.9,0.5083333333333333,0.5833333333333334,0.5083333333333333,1,0,0.0,0.5083333333333333,1.0,0.98,1.14,0.02,strong,0.08,0.0,0.7645079166666666,score_lotto,lotto_1,lotto
2025-01-07,Jayson Tatum,BOS,DEN,reb,10.114729452516253,8.2,36.10999979999998,poisson,0.0,1,ok,reb_hgbr,v1,11.5,under,0.6836552473968247,1.3852705474837474,0.4155135136135136,1.0,0.1836552473968247,0.03,0.0,0.13333333333333333,0.0,0.0,0.7917666666666666,0.9760049999999999,0.9804499999999999,1,1,1,0.7429362936728621,0.0,high_conf,0.95,0.5083333333333333,0.8833333333333333,0.5083333333333333,1,0,0.0,0.5083333333333333,1.0,0.98,1.14,0.02,elite,0.16,0.0,0.9034209166666666,score_lotto,lotto_1,lotto
2025-01-07,Trae Young,ATL,UTA,reb,4.705204377881464,2.2,33.859999599999995,poisson,0.0,1,ok,reb_hgbr,v1,3.5,over,0.6911347363247013,1.205204377881464,0.5045742660704753,0.9405555444444443,0.19113473632470135,0.03,0.0,0.43333333333333335,0.0,0.0,0.6790666666666667,0.714775,0.71671,1,1,1,0.8133894325289596,0.0,high_conf,0.6,0.5083333333333333,0.8333333333333334,0.5083333333333333,1,0,0.0,0.5083333333333333,1.0,0.98,1.14,0.02,core,0.0,0.0,0.7009754166666666,score_lotto,lotto_1,lotto
2025-01-07,Andrew Wiggins,GSW,MIA,reb,5.002124177298579,4.6000000000000005,30.9333334,poisson,0.0,1,ok,reb_hgbr,v1,6.5,under,0.7618727938724545,1.4978758227014213,0.6113970272150044,0.8592592611111111,0.26187279387245455,0.03,0.0,0.7666666666666667,0.0,0.0,0.64836,0.6949883333333333,0.7091099999999999,1,1,1,0.9579735458634411,0.0,high_conf,0.65,0.5083333333333333,0.7,0.5083333333333333,1,0,0.0,0.5083333333333333,1.0,0.98,1.14,0.02,core,0.0,0.0,0.6798674166666666,score_lotto,lotto_1,lotto
