player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3
Armoni Brooks,HOU,MEM,1,9.17825089794415,0.3351937359453162,3.0764922079253525
Kevin Durant,HOU,MEM,1,6.869165334209432,0.3485592463217949,2.39431109175184
Jabari Smith Jr.,HOU,MEM,1,7.009893638524513,0.33516986735771365,2.349505121015942
Reed Sheppard,HOU,MEM,1,6.624029767402063,0.34426449281659166,2.280418248276677
Cedric Coward,MEM,HOU,0,5.69900186737856,0.34016243537828,1.9385863544328565
Ziaire Williams,MEM,HOU,0,5.616721194758566,0.31519204169572,1.7703458210115761
Tari Eason,HOU,MEM,1,4.848491020841267,0.3564745061798862,1.7283634423720027
Jaylen Wells,MEM,HOU,0,5.163033677026593,0.33393615098882456,1.7241235935319386
Vince Williams Jr.,MEM,HOU,0,4.999152945209545,0.3385035304199221,1.6922309210625823
Cam Spencer,MEM,HOU,0,4.56587583784434,0.3238619546439838,1.4787134735060052
Kentavious Caldwell-Pope,MEM,HOU,0,4.133949752543629,0.35646930288754675,1.4736261864613738
Jaren Jackson Jr.,MEM,HOU,0,4.627969012050885,0.31515227722462896,1.4585149730728526
Anthony Lamb,HOU,MEM,1,4.083421745728771,0.3423348988385772,1.397897770239305
David Roddy,HOU,MEM,1,3.5119164046092637,0.37853492144356643,1.32938300033514
Scotty Pippen Jr.,MEM,HOU,0,3.523612955973398,0.37091451016211363,1.3069591735657502
GG Jackson II,MEM,HOU,0,3.320293798380418,0.35647238526817754,1.183593050099805
Aaron Holiday,HOU,MEM,1,3.207940170123882,0.3483442365016375,1.1174674693047366
Jock Landale,MEM,HOU,0,3.1432656522089473,0.33900557820148136,1.0655845898679506
Killian Tillie,MEM,HOU,0,3.143069887530036,0.3351954302179176,1.0535426631556122
Lamar Stevens,MEM,HOU,0,2.645282551617555,0.367551141048943,0.9722766202438918
Olivier-Maxence Prosper(TW),MEM,HOU,0,2.6104533111930133,0.3460559069821867,0.9033627882395506
Yuki Kawamura,MEM,HOU,0,2.410029572562002,0.3675494469645633,0.8858050365634068
Josh Okogie,HOU,MEM,1,2.5784212135198805,0.34116078780344783,0.8796562124935644
Amen Thompson,HOU,MEM,1,2.3971007482502866,0.33278552850300747,0.7977204393814263
Alperen Şengün,HOU,MEM,1,2.1569629770776557,0.35647764461406584,0.768909081588386
Javon Small(TW),MEM,HOU,0,2.3347969920349563,0.3268233640147429,0.7630662072283673
Jeff Green,HOU,MEM,1,1.9709071687509112,0.3483442365016375,0.6865541529141401
Yves Pons,MEM,HOU,0,2.0832177240641254,0.31519204169572,0.6566136477444827
Kenneth Lofton Jr.,MEM,HOU,0,2.0572610864880922,0.31852335051096997,0.6552856941440255
John Konchar,MEM,HOU,0,1.9436583983417401,0.33380261884144935,0.6487982634996499
Jae'Sean Tate,HOU,MEM,1,1.8547783848399746,0.3306173103880383,0.6132218409616623
Sean McDermott,MEM,HOU,0,1.7142037103452057,0.35186209688458425,0.6031633120093985
Jontay Porter,MEM,HOU,0,1.68326715518073,0.3351937359453162,0.5642206063390732
Usman Garuba,HOU,MEM,1,1.6867211947585665,0.31519204169572,0.5316410971473968
Zach Edey,MEM,HOU,0,1.402861265196043,0.3588773282146483,0.5034551027093771
Kennedy Chandler,MEM,HOU,0,1.1760537087681864,0.31852335051096997,0.37460056769769523
Jermaine Samuels,HOU,MEM,1,0.972648577754116,0.3761096458383551,0.36582251210428035
Brandon Clarke,MEM,HOU,0,0.9828181598171903,0.35185639634723465,0.3458108559778971
Clint Capela,HOU,MEM,1,0.9554474983655339,0.3564740819629971,0.3405922698436959
