player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3
Sam Merrill,CLE,ORL,1,7.023087041632101,0.3760556318510271,2.64107143498572
Darius Garland,CLE,ORL,1,5.423305145903898,0.37086049730220627,2.011289643431534
Max Strus,CLE,ORL,1,5.964078996779962,0.33514141262326774,1.998809859977598
Jaylon Tyson,CLE,ORL,1,5.6393984284427905,0.34010845131169826,1.9180070658273025
Anthony Black,ORL,CLE,0,5.564227958281816,0.33056332519523446,1.8393296960339276
Jalen Suggs,ORL,CLE,0,5.366791614211879,0.3384495409462565,1.8163881581842294
De'Andre Hunter,CLE,ORL,1,5.083753778559202,0.34600189930930775,1.7589884630023538
Wendell Carter Jr.,ORL,CLE,0,4.88906336563815,0.3564082256644805,1.7425023993083064
Ty Jerome,CLE,ORL,1,4.557712819595133,0.3518080792899344,1.603440193016875
Paolo Banchero,ORL,CLE,0,4.610159023905371,0.3351158790104482,1.5449374936739984
Chuma Okeke,CLE,ORL,1,4.2119308549786965,0.3422808822591181,1.44166340905651
Franz Wagner,ORL,CLE,0,3.8027632451524633,0.3784809092035363,1.4392732905110945
Evan Mobley,CLE,ORL,1,3.8906750197617432,0.35640507759770623,1.3866563323256413
Caleb Houstan,ORL,CLE,0,4.253010527004736,0.31846933556660156,1.3544534366929601
Cory Joseph,ORL,CLE,0,4.038513733246592,0.33513971885826616,1.35346635716551
Emoni Bates,CLE,ORL,1,3.9509867386464625,0.315138025116261,1.245106158077583
Lonzo Ball,CLE,ORL,1,3.616949839916134,0.34421050232873507,1.2449921212953703
Tristan Da Silva,ORL,CLE,0,3.606358079168498,0.3338821689501265,1.2040986574835901
R.J. Hampton,ORL,CLE,0,3.5885810818710944,0.33514376507330695,1.2026905750491197
Brodric Thomas,CLE,ORL,1,3.4839644741928257,0.3451448002222621,1.2024722224267415
Dean Wade,CLE,ORL,1,3.3513530540414345,0.3327315411698558,1.1151008666755096
Kevon Harris,ORL,CLE,0,3.2092404191730175,0.34514141262326775,1.1076417717210632
Tyus Jones,ORL,CLE,0,2.9699012892974856,0.35882331851201243,1.0656698362788282
Moritz Wagner,ORL,CLE,0,2.9484111385451843,0.3564029639293589,1.0508224686598393
Nae'Qwan Tomlin(TW),CLE,ORL,1,2.9337621061809944,0.3564046548296103,1.0456064708056279
Tyrese Proctor,CLE,ORL,1,2.8703241452153336,0.35639987850719945,1.022983176631026
Jett Howard,ORL,CLE,0,2.8928167185524263,0.35180238765949484,1.0176998286480485
Trevelin Queen,ORL,CLE,0,3.0165789967799626,0.33513971885826616,1.0109754368945871
Noah Penda,ORL,CLE,0,2.9178185827620147,0.3337486373097003,0.9738179759137433
Dwayne Bacon,ORL,CLE,0,2.801645412615753,0.32514037737337775,0.9109280467242785
Jase Richardson,ORL,CLE,0,2.6550922971097677,0.32380797361917496,0.8597400564989943
Larry Nance Jr.,CLE,ORL,1,2.425478016109277,0.34829022882875854,0.8447702932498234
Luke Travers(TW),CLE,ORL,1,2.4538157557696407,0.31846933556660156,0.7814650733428158
Dylan Windler,CLE,ORL,1,2.248744018000701,0.3396868671687223,0.763868810539063
Thomas Bryant,CLE,ORL,1,1.9573137498315538,0.34829022882875854,0.6817132538185073
Kevin Pangos,CLE,ORL,1,1.756267206542132,0.33514141262326774,0.5885978725444505
Luke Travers,CLE,ORL,1,1.8125696169143573,0.315138025116261,0.5712096094601282
Jamal Cain(TW),ORL,CLE,0,1.4422862671097785,0.36749712982389693,0.530036063547266
Jonathan Isaac,ORL,CLE,0,1.0774012612495736,0.36749543624699615,0.3959400465159759
RJ Nembhard Jr.,CLE,ORL,1,0.9785467503500069,0.3396868671687223,0.3323994800045277
Tristan Thompson,CLE,ORL,1,0.9882577821473802,0.315138025116261,0.3114376057717015
Karim Mané,ORL,CLE,0,0.7485581183247498,0.3651437650733069,0.27333132970128915
