game_date,player,team,opp,stat,pred_mean,baseline_mean,minutes_proj,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,line,side,p_hit,edge_raw,edge_norm,minutes_conf,prob_edge,stat_vol_penalty,extreme_line_penalty,edge_rank_pct,reb_top_bucket_bonus,ast_extreme_tail_penalty,score_safe,score_balanced,score_lotto,can_safe,can_balanced,can_lotto,score,delta_mean,confidence_tier,pred_pctile_within_stat,delta_pctile_within_stat,minutes_pctile_within_stat,dispersion_pctile_good,baseline_available,zero_baseline_flag,rel_delta_vs_baseline,rel_delta_pctile_within_stat,confidence_score,stat_broad_weight,stat_top_pick_weight,stat_variance_penalty,top_pick_bucket,top_bucket_bonus,ast_tail_penalty,rank_score,ticket_score_col,ticket_id,ticket_type
2025-01-08,Jakob Poeltl,TOR,NYK,reb,13.116617909434218,8.2,30.983333399999985,poisson,0.0,1,ok,reb_hgbr,v1,14.5,under,0.6631750443978037,1.3833820905657817,0.36819409487609134,0.8606481499999996,0.16317504439780373,0.03,0.0,0.05813953488372093,0.0,0.0,0.7282186046511628,0.9310104651162792,0.9543139534883721,0,1,1,0.6526432699635137,0.0,high_conf,0.9883720930232558,0.5058139534883721,0.6627906976744186,0.5058139534883721,1,0,0.0,0.5058139534883721,1.0,0.98,1.14,0.02,elite,0.16,0.0,0.8557195930232558,score_balanced,balanced_1,balanced
2025-01-08,Jamal Murray,DEN,LAC,ast,6.064511204591205,5.8,37.25333319999999,poisson,0.0,1,ok,ast_hgbr,v1,7.5,under,0.7350513346744768,1.4354887954087951,0.5400808119067236,1.0,0.2350513346744768,0.04,0.0,0.23863636363636365,0.0,0.0,0.8894727272727275,0.8015676136363638,0.7054568181818183,1,1,1,0.872784319990116,0.0,high_conf,0.9204545454545454,0.5056818181818182,0.9772727272727273,0.5056818181818182,1,0,0.0,0.5056818181818182,1.0,1.08,0.98,0.03,strong,0.0,0.0,0.8127019602272729,score_balanced,balanced_1,balanced
2025-01-08,Tyrese Maxey,PHI,WAS,pts,29.098386828538267,22.999295176397727,37.206666599999984,nbinom,0.05344975309597418,1,ok,pts_composed,v1,30.5,under,0.5947827451816579,1.401613171461733,0.25547979576947527,1.0,0.09478274518165786,0.06,0.0,0.17857142857142858,0.0,0.0,0.7538018095238097,0.705420369047619,0.6621462857142858,0,1,1,0.47277889564739206,0.0,medium_conf,0.9880952380952381,0.5059523809523809,0.9642857142857143,0.5059523809523809,1,0,0.0,0.5059523809523809,0.66,0.97,0.96,0.04,elite,0.0,0.0,0.713954424404762,score_balanced,balanced_1,balanced
2025-01-08,Deandre Ayton,POR,NOP,reb,12.652793149411632,10.4,31.043332999999997,poisson,0.0,1,ok,reb_hgbr,v1,11.5,over,0.6106900060269101,1.1527931494116324,0.3119899696044311,0.8623148055555555,0.11069000602691015,0.03,0.0,0.011627906976744186,0.0,0.0,0.7289023255813954,0.9308872093023257,0.9529883720930232,0,1,1,0.5524830690714339,0.0,high_conf,0.9767441860465116,0.5058139534883721,0.6744186046511628,0.5058139534883721,1,0,0.0,0.5058139534883721,1.0,0.98,1.14,0.02,elite,0.16,0.0,0.8556185465116279,score_balanced,balanced_1,balanced
2025-01-08,Isaiah Hartenstein,OKC,CLE,reb,11.267741450212228,10.4,29.39666719999999,poisson,0.0,1,ok,reb_hgbr,v1,12.5,under,0.6590731483964646,1.2322585497877725,0.35181919690117086,0.8165740888888886,0.15907314839646458,0.03,0.0,0.046511627906976744,0.0,0.0,0.683093023255814,0.8967453488372094,0.9293930232558139,0,1,1,0.6252830462518771,0.0,high_conf,0.9651162790697675,0.5058139534883721,0.5465116279069767,0.5058139534883721,1,0,0.0,0.5058139534883721,1.0,0.98,1.14,0.02,elite,0.16,0.0,0.8194463372093023,score_balanced,balanced_1,balanced
