stat,minutes_bucket,pred_bucket,n,mean_pred,mean_actual,mae,bias,rmse,beat_projection_rate,beat_baseline_rate
reb,37+,7-8,22,6.888287988759967,7.5,2.22628394896287,0.6117120112400323,2.7600724025485297,0.5454545454545454,0.5454545454545454
reb,37+,9-10,7,8.739435422808125,11.571428571428571,3.6538742540397644,2.831993148620446,4.231107145368774,0.7142857142857143,0.8571428571428571
reb,37+,<=1,0,,,,,,,
reb,37+,<=10,0,,,,,,,
reb,37+,<=2,0,,,,,,,
reb,37+,<=4,13,3.4893854706770497,3.1538461538461537,1.3948703629012225,-0.33553931683089594,1.7914332426666055,0.38461538461538464,0.46153846153846156
reb,,11+,0,,,,,,,
reb,,11-12,11,10.72192385997705,14.272727272727273,3.550803412750223,3.550803412750223,4.574155435281446,1.0,0.7272727272727273
reb,,11-15,0,,,,,,,
reb,,13+,1,12.969407256407372,10.0,2.969407256407372,-2.969407256407372,2.969407256407372,0.0,0.0
reb,,16-20,0,,,,,,,
reb,,2,0,,,,,,,
reb,,21-25,0,,,,,,,
reb,,26-30,0,,,,,,,
reb,,3,0,,,,,,,
reb,,3-4,0,,,,,,,
reb,,31+,0,,,,,,,
reb,,4,0,,,,,,,
reb,,5,0,,,,,,,
reb,,5-6,154,4.8271277931791605,4.266233766233766,2.054412779240532,-0.5608940269453944,2.582573941958057,0.36363636363636365,0.4025974025974026
reb,,7-8,74,6.623608881016726,6.581081081081081,2.9101997207711308,-0.042527799935645136,3.3604612867333743,0.4189189189189189,0.40540540540540543
reb,,9-10,15,9.054302837990946,10.0,2.692258408903898,0.9456971620090544,3.9562752240947834,0.5333333333333333,0.26666666666666666
reb,,<=1,0,,,,,,,
reb,,<=10,0,,,,,,,
reb,,<=2,0,,,,,,,
reb,,<=4,220,3.0044678499513084,2.272727272727273,1.6974345245570195,-0.731740577224036,2.0528653409702406,0.31363636363636366,0.4681818181818182
