stat,minutes_bucket,pred_bucket,n,mean_pred,mean_actual,mae,bias,rmse,beat_projection_rate,beat_baseline_rate
ast,37+,7-8,22,6.613937030228393,6.636363636363637,2.6310355837658923,0.02242660613524381,3.0778822025150476,0.5,0.4090909090909091
ast,37+,9-10,0,,,,,,,
ast,37+,<=1,0,,,,,,,
ast,37+,<=10,0,,,,,,,
ast,37+,<=2,5,1.8226620207127926,1.4,0.9891496951421406,-0.4226620207127926,1.2276256771960279,0.6,0.6
ast,37+,<=4,0,,,,,,,
ast,,11+,2,10.981426371403817,8.5,2.481426371403817,-2.481426371403817,2.4814279726363564,0.0,0.5
ast,,11-12,0,,,,,,,
ast,,11-15,0,,,,,,,
ast,,13+,0,,,,,,,
ast,,16-20,0,,,,,,,
ast,,2,0,,,,,,,
ast,,21-25,0,,,,,,,
ast,,26-30,0,,,,,,,
ast,,3,0,,,,,,,
ast,,3-4,156,2.769780413272459,2.7243589743589745,1.77253686800812,-0.04542143891348459,2.246173292589329,0.42948717948717946,0.4166666666666667
ast,,31+,0,,,,,,,
ast,,4,0,,,,,,,
ast,,5,0,,,,,,,
ast,,5-6,55,4.893691475472383,4.818181818181818,1.7977037914130407,-0.07550965729056469,2.2048940147076936,0.43636363636363634,0.41818181818181815
ast,,7-8,18,7.137696141051387,7.611111111111111,2.7223302016988935,0.4734149700597241,3.2465960115066426,0.5555555555555556,0.4444444444444444
ast,,9-10,16,8.662743562797655,7.5625,3.1641304228315206,-1.1002435627976541,3.8207623058500872,0.25,0.375
ast,,<=1,0,,,,,,,
ast,,<=10,0,,,,,,,
ast,,<=2,228,1.4013654310572055,1.25,1.0455760339364355,-0.15136543105720543,1.3376940973720142,0.39473684210526316,0.4473684210526316
ast,,<=4,0,,,,,,,
fg3,<=16,11+,0,,,,,,,
fg3,<=16,11-12,0,,,,,,,
fg3,<=16,11-15,0,,,,,,,
fg3,<=16,13+,0,,,,,,,
fg3,<=16,16-20,0,,,,,,,
fg3,<=16,2,30,1.2919865363916563,1.0666666666666667,0.986004172001113,-0.2253198697249896,1.1700238859536543,0.3,0.43333333333333335
fg3,<=16,21-25,0,,,,,,,
fg3,<=16,26-30,0,,,,,,,
fg3,<=16,3,1,2.2313499495911806,2.0,0.2313499495911806,-0.2313499495911806,0.2313499495911806,0.0,1.0
fg3,<=16,3-4,0,,,,,,,
fg3,<=16,31+,0,,,,,,,
fg3,<=16,4,0,,,,,,,
fg3,<=16,5,0,,,,,,,
fg3,<=16,5-6,0,,,,,,,
fg3,<=16,7-8,0,,,,,,,
fg3,<=16,9-10,0,,,,,,,
fg3,<=16,<=1,82,0.48611181257250213,0.573170731707317,0.5656105091783958,0.08705891913481498,0.8984187273254975,0.4268292682926829,0.5609756097560976
fg3,<=16,<=10,0,,,,,,,
fg3,<=16,<=2,0,,,,,,,
fg3,<=16,<=4,0,,,,,,,
fg3,17-24,11+,0,,,,,,,
fg3,17-24,11-12,0,,,,,,,
fg3,17-24,11-15,0,,,,,,,
fg3,17-24,13+,0,,,,,,,
fg3,17-24,16-20,0,,,,,,,
fg3,17-24,2,141,1.4322267087526175,1.553191489361702,1.1833397057159198,0.12096478060908468,1.5836899139928617,0.3829787234042553,0.4326241134751773
fg3,17-24,21-25,0,,,,,,,
fg3,17-24,26-30,0,,,,,,,
fg3,17-24,3,19,2.238838628913551,1.5789473684210527,1.1984531638664058,-0.6598912604924984,1.41292795295089,0.2631578947368421,0.2631578947368421
fg3,17-24,3-4,0,,,,,,,
fg3,17-24,31+,0,,,,,,,
