season,defense_team,games,opp_fg3_made_total,opp_fg3_att_total,opp_3pm_per_game,opp_3pa_per_game,opp_3p_pct_allowed,rank_by_3pm_per_game,rank_by_3p_pct_allowed
2026,IND,40,445.0,1311.0,11.125,32.775,0.33943554538520215,1,2
2026,ORL,37,426.0,1195.0,11.513513513513514,32.2972972972973,0.35648535564853556,2,13
2026,DAL,39,462.0,1391.0,11.846153846153847,35.666666666666664,0.3321351545650611,3,1
2026,PHI,38,469.0,1346.0,12.342105263157896,35.421052631578945,0.34843982169390786,4,4
2026,GSW,40,497.0,1412.0,12.425,35.3,0.3519830028328612,5,9
2026,PHO,40,499.0,1425.0,12.475,35.625,0.35017543859649125,6,6
2026,TOR,39,489.0,1407.0,12.538461538461538,36.07692307692308,0.34754797441364604,7,3
2026,DET,39,489.0,1402.0,12.538461538461538,35.94871794871795,0.3487874465049929,7,5
2026,MIN,39,491.0,1361.0,12.58974358974359,34.8974358974359,0.36076414401175605,9,17
2026,SAC,45,568.0,1617.0,12.622222222222222,35.93333333333333,0.3512677798392084,10,7
2026,BRK,38,480.0,1269.0,12.631578947368421,33.39473684210526,0.37825059101654845,11,28
2026,HOU,37,470.0,1335.0,12.702702702702704,36.08108108108108,0.352059925093633,12,10
2026,POR,41,522.0,1470.0,12.731707317073171,35.853658536585364,0.3551020408163265,13,11
2026,CHO,41,532.0,1453.0,12.975609756097562,35.4390243902439,0.3661390227116311,14,22
2026,SAS,40,533.0,1469.0,13.325,36.725,0.36283185840707965,15,18
2026,CHI,34,454.0,1240.0,13.352941176470589,36.470588235294116,0.36612903225806454,16,21
2026,DEN,38,509.0,1411.0,13.394736842105264,37.13157894736842,0.36073706591070165,17,16
2026,LAL,37,496.0,1352.0,13.405405405405405,36.54054054054054,0.3668639053254438,18,24
2026,ATL,41,551.0,1536.0,13.439024390243903,37.46341463414634,0.3587239583333333,19,14
2026,LAC,39,529.0,1433.0,13.564102564102564,36.743589743589745,0.369155617585485,20,26
2026,MIL,37,503.0,1380.0,13.594594594594595,37.2972972972973,0.3644927536231884,21,20
2026,MIA,40,555.0,1577.0,13.875,39.425,0.3519340519974635,22,8
2026,CLE,40,557.0,1455.0,13.925,36.375,0.3828178694158076,23,29
2026,WAS,37,522.0,1433.0,14.108108108108109,38.729729729729726,0.36427076064200975,24,19
2026,OKC,41,581.0,1586.0,14.170731707317072,38.68292682926829,0.36633039092055486,25,23
2026,MEM,39,559.0,1570.0,14.333333333333334,40.256410256410255,0.3560509554140127,26,12
2026,BOS,40,575.0,1566.0,14.375,39.15,0.36717752234993617,27,25
2026,NYK,38,562.0,1463.0,14.789473684210526,38.5,0.38414217361585784,28,30
2026,NOP,43,638.0,1771.0,14.837209302325581,41.18604651162791,0.36024844720496896,29,15
2026,UTA,41,635.0,1679.0,15.487804878048781,40.951219512195124,0.37820131030375226,30,27
