minutes_bucket,n,actual_mean,model_mean,baseline_mean,model_mae,baseline_mae,model_rmse,baseline_rmse,model_bias,baseline_bias,mae_lift_vs_baseline
0-12,1688,1.4537914691943128,3.6302535841256662,3.025118483412322,2.381215081046987,1.9758293838862557,2.840233037482068,2.5674410518067146,-2.1764621149313537,-1.5713270142180096,-0.40538569716073125
12-20,3739,3.0454667023268254,4.068898303559941,3.610377106178123,1.8911973737813974,1.8355175180529553,2.378239257497025,2.3710363386226856,-1.023431601233116,-0.5649104038512971,-0.05567985572844214
20-28,5688,4.3366736990154715,4.601632772696664,4.362869198312236,1.9423974343628598,1.9910337552742616,2.4761088650316174,2.567243345813652,-0.2649590736811935,-0.02619549929676511,0.0486363209114018
28-36,6160,5.629058441558442,5.4204280514547065,5.268409090909091,2.12808328787156,2.2053246753246754,2.780660042270467,2.8749093718070307,0.20863039010373538,0.3606493506493506,0.07724138745311526
36+,2229,6.765814266487214,5.906631856945424,5.798205473306416,2.3783980967642115,2.4454015253476897,3.165422919144543,3.209642269681631,0.85918240954179,0.9676087931807986,0.06700342858347819
