prob_bucket,n,mean_pred,actual_rate,diff_pred_minus_actual
0-.01,11628,0.003406965929117743,0.015995872033023734,-0.012588906103905992
.01-.03,2969,0.017589456525382328,0.05927921859211856,-0.04168976206673623
.03-.05,952,0.03876269911750251,0.10294117647058823,-0.06417847735308571
.05-.10,1068,0.07187466439638014,0.14232209737827714,-0.070447432981897
.10-.20,868,0.1404583459097839,0.1912442396313364,-0.05078589372155251
.20-.35,654,0.26708141148685377,0.30275229357798167,-0.0356708820911279
.35-.50,368,0.4192889118296684,0.38315217391304346,0.03613673791662492
.50+,997,0.7465472665689713,0.5646940822467402,0.18185318432223108
