minutes_bucket,n,mean_pred,actual_rate,diff_pred_minus_actual
0-12,1688,0.010144557657666928,0.0,0.010144557657666928
12-20,3739,0.015481478400697447,0.004011767852366943,0.011469710548330504
20-28,5688,0.027485476164107115,0.026547116736990155,0.0009383594271169596
28-36,6160,0.05093973953981541,0.0711038961038961,-0.020164156564080687
36+,2229,0.061515960611799904,0.11664423508299686,-0.055128274471196954
