threshold,actual_rate,model_rate_from_mean,baseline_rate_from_mean,model_minus_actual,baseline_minus_actual
8,0.16586341263330598,0.0916222313371616,0.10192780968006562,-0.07424118129614438,-0.06393560295324036
10,0.08613617719442165,0.04265791632485644,0.04752871205906481,-0.043478260869565216,-0.038607465135356844
12,0.044298605414273995,0.01251025430680886,0.018560295324036094,-0.03178835110746513,-0.0257383100902379
14,0.020764971287940935,0.0011279737489745694,0.0038453650533223954,-0.019636997538966364,-0.01691960623461854
