prob_bucket,n,mean_pred,actual_rate,diff_pred_minus_actual
0-.01,3620,0.006003826921756712,0.019613259668508288,-0.013609432746751575
.01-.03,4198,0.018380684457142575,0.0435921867555979,-0.025211502298455327
.03-.05,2075,0.03918220699662506,0.07662650602409639,-0.03744429902747133
.05-.10,2773,0.07210754665770906,0.10818608005769924,-0.036078533399990176
.10-.20,2442,0.14278902610768873,0.19164619164619165,-0.04885716553850292
.20-.35,1639,0.26536287852579316,0.29164124466137886,-0.026278366135585707
.35-.50,881,0.41878590059118403,0.4097616345062429,0.009024266084941113
.50+,1876,0.735933352014752,0.6476545842217484,0.08827876779300359
