minutes_bucket,n,mean_pred,actual_rate,diff_pred_minus_actual
0-12,1688,0.06998294576033791,0.002962085308056872,0.06702086045228103
12-20,3739,0.09517337196829394,0.04466434875635197,0.05050902321194197
20-28,5688,0.1310272816760715,0.13677918424753868,-0.005751902571467182
28-36,6160,0.19326422831228973,0.24285714285714285,-0.04959291454485312
36+,2229,0.2259129227711198,0.35397039030955585,-0.12805746753843605
