prob_bucket,n,mean_pred,actual_rate,diff_pred_minus_actual
0-.01,16163,0.0011501720233407242,0.010146631194703954,-0.00899645917136323
.01-.03,1049,0.017707343550922447,0.0905624404194471,-0.07285509686852465
.03-.05,385,0.038479459807785284,0.13246753246753246,-0.09398807265974718
.05-.10,414,0.07042986912703414,0.15942028985507245,-0.08899042072803831
.10-.20,438,0.1451393994211836,0.2374429223744292,-0.09230352295324562
.20-.35,320,0.2711601114219451,0.265625,0.005535111421945127
.35-.50,239,0.42537041068508846,0.3263598326359833,0.09901057804910518
.50+,496,0.7038526388281361,0.44556451612903225,0.25828812269910384
