game_date,player,team,opp,stat,pred_mean,baseline_mean,minutes_proj,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,line,side,p_hit,edge_raw,edge_norm,minutes_conf,prob_edge,stat_vol_penalty,extreme_line_penalty,edge_rank_pct,reb_top_bucket_bonus,ast_extreme_tail_penalty,score_safe,score_balanced,score_lotto,can_safe,can_balanced,can_lotto,score,delta_mean,confidence_tier,pred_pctile_within_stat,delta_pctile_within_stat,minutes_pctile_within_stat,dispersion_pctile_good,baseline_available,zero_baseline_flag,rel_delta_vs_baseline,rel_delta_pctile_within_stat,confidence_score,stat_broad_weight,stat_top_pick_weight,stat_variance_penalty,top_pick_bucket,top_bucket_bonus,ast_tail_penalty,rank_score,ticket_score_col,ticket_id,ticket_type
2025-01-10,Domantas Sabonis,SAC,BOS,ast,6.339135151687879,7.6,37.7066672,poisson,0.0,1,ok,ast_hgbr,v1,7.5,under,0.6961199167884846,1.1608648483121211,0.4285082798535065,1.0,0.19611991678848462,0.04,0.0,0.1111111111111111,0.0,0.0,0.8799428571428571,0.7967380952380952,0.7047444444444445,1,1,1,0.7427541611768216,0.0,high_conf,0.9365079365079365,0.5079365079365079,0.9365079365079365,0.5079365079365079,1,0,0.0,0.5079365079365079,1.0,1.08,0.98,0.03,strong,0.0,0.0,0.8070215873015874,score_safe,safe_1,safe
2025-01-10,Michael Porter Jr.,DEN,BRK,reb,6.365975363710195,7.2,35.09333359999999,poisson,0.0,1,ok,reb_hgbr,v1,7.5,under,0.69224633486283,1.134024636289805,0.41783744631012526,0.9748148222222218,0.19224633486283005,0.03,0.0,0.1044776119402985,0.0,0.0,0.7575641791044776,0.7862656716417911,0.7916805970149253,1,1,1,0.7482189559889673,0.0,high_conf,0.8656716417910447,0.5074626865671642,0.8507462686567164,0.5074626865671642,1,0,0.0,0.5074626865671642,1.0,0.98,1.14,0.02,core,0.0,0.0,0.7761388059701493,score_safe,safe_1,safe
2025-01-10,Cason Wallace,OKC,NYK,pts,7.124852688280367,8.776837043759059,29.569999799999998,nbinom,0.05344975309597418,1,ok,pts_composed,v1,8.5,under,0.6965936132721042,1.3751473117196333,0.48243796447123977,0.8213888833333333,0.19659361327210423,0.06,0.0,0.9104477611940298,0.0,0.0,0.4034608358208956,0.43045623880597017,0.42310662686567163,1,1,1,0.7104922392351143,0.0,medium_conf,0.1791044776119403,0.5074626865671642,0.5671641791044776,0.5074626865671642,1,0,0.0,0.5074626865671642,0.66,0.97,0.96,0.04,core,0.0,0.0,0.4178206746268657,score_safe,safe_1,safe
2025-01-10,Cole Anthony,ORL,MIL,reb,2.908604966140906,4.0,27.8233336,poisson,0.0,1,ok,reb_hgbr,v1,1.5,over,0.7867786480743824,1.408604966140906,0.7124892653123733,0.7728703777777778,0.28677864807438236,0.03,0.0,0.9402985074626866,0.16,0.0,0.39673110447761195,0.4586971940298508,0.4885835223880597,1,1,1,1.2200655156846845,0.0,medium_conf,0.11940298507462686,0.5074626865671642,0.5223880597014925,0.5074626865671642,1,0,0.0,0.5074626865671642,0.66,0.98,1.14,0.02,core,0.0,0.0,0.44138234029850754,score_safe,safe_1,safe
2025-01-10,Justin Champagnie,WAS,CHI,ast,1.3323758342122594,1.4,23.056666599999993,poisson,0.0,1,ok,ast_hgbr,v1,2.5,under,0.8495928526640547,1.1676241657877406,0.7645463306164983,0.6404629611111109,0.3495928526640547,0.04,0.0,0.7936507936507936,0.0,0.0,0.36704914285714296,0.40162355555555557,0.3953382222222222,1,1,1,1.095758152748661,0.0,medium_conf,0.14285714285714285,0.5079365079365079,0.3333333333333333,0.5079365079365079,1,0,0.0,0.5079365079365079,0.66,1.08,0.98,0.03,core,0.0,0.0,0.3862224571428572,score_safe,safe_1,safe
2025-01-10,Josh Hart,NYK,OKC,reb,7.882130101926904,12.4,41.966667199999996,poisson,0.0,1,ok,reb_hgbr,v1,6.5,over,0.6720183097386574,1.3821301019269043,0.4637568746845208,1.0,0.1720183097386574,0.03,0.0,0.3283582089552239,0.0,0.0,0.8318686567164179,1.0054358208955225,1.0000029850746268,0,1,1,0.7721282676393016,0.0,high_conf,0.9552238805970149,0.5074626865671642,1.0,0.5074626865671642,1,0,0.0,0.5074626865671642,1.0,0.98,1.14,0.02,elite,0.16,0.0,0.9346507462686566,score_balanced,balanced_1,balanced
2025-01-10,Domantas Sabonis,SAC,BOS,ast,6.339135151687879,7.6,37.7066672,poisson,0.0,1,ok,ast_hgbr,v1,7.5,under,0.6961199167884846,1.1608648483121211,0.4285082798535065,1.0,0.19611991678848462,0.04,0.0,0.1111111111111111,0.0,0.0,0.8799428571428571,0.7967380952380952,0.7047444444444445,1,1,1,0.7427541611768216,0.0,high_conf,0.9365079365079365,0.5079365079365079,0.9365079365079365,0.5079365079365079,1,0,0.0,0.5079365079365079,1.0,1.08,0.98,0.03,strong,0.0,0.0,0.8070215873015874,score_balanced,balanced_1,balanced
2025-01-10,Tyrese Maxey,PHI,NOP,pts,30.08888724459743,25.352302888368463,37.743333599999985,nbinom,0.05344975309597418,1,ok,pts_composed,v1,31.5,under,0.593505483008812,1.41111275540257,0.25308075925997786,1.0,0.09350548300881201,0.06,0.0,0.14925373134328357,0.0,0.0,0.7593205373134329,0.7100181791044776,0.6664021492537314,0,1,1,0.46970891994102665,0.0,medium_conf,1.0,0.5074626865671642,0.9701492537313433,0.5074626865671642,1,0,0.0,0.5074626865671642,0.66,0.97,0.96,0.04,elite,0.0,0.0,0.7188351149253731,score_balanced,balanced_1,balanced
2025-01-10,Giannis Antetokounmpo,MIL,ORL,reb,9.945777517244817,12.8,34.94666619999999,poisson,0.0,1,ok,reb_hgbr,v1,8.5,over,0.6610419391277327,1.4457775172448173,0.4369967012932765,0.9707407277777774,0.16104193912773268,0.03,0.0,0.208955223880597,0.0,0.0,0.7812597014925373,0.9692059701492538,0.9778835820895522,0,1,1,0.7321794696872141,0.0,high_conf,0.9701492537313433,0.5074626865671642,0.835820895522388,0.5074626865671642,1,0,0.0,0.5074626865671642,1.0,0.98,1.14,0.02,elite,0.16,0.0,0.8961968656716417,score_balanced,balanced_1,balanced
2025-01-10,Jamal Murray,DEN,BRK,ast,5.9473055451566905,5.6,36.54999979999999,poisson,0.0,1,ok,ast_hgbr,v1,4.5,over,0.7078282689078274,1.4473055451566905,0.5491007364541659,1.0,0.20782826890782735,0.04,0.0,0.2857142857142857,0.0,0.0,0.8693142857142858,0.7890539682539682,0.6988333333333333,1,1,1,0.8535789679645419,0.0,high_conf,0.9206349206349206,0.5079365079365079,0.9206349206349206,0.5079365079365079,1,0,0.0,0.5079365079365079,1.0,1.08,0.98,0.03,strong,0.0,0.0,0.7986029365079366,score_balanced,balanced_1,balanced
