player,team,opp,is_home,pred_fg2a,pred_fg2_rate,pred_fta,pred_ft_rate,pred_fg3a,pred_fg3_rate,pred_pts,sd_pts,baseline_pts,delta_pts,p_over_baseline_3,p_over_22_5
Brandon Ingram,TOR,CHI,0,10.562420994711674,0.4661859602952126,4.745013972802843,0.7314792878614861,5.075957720364283,0.3174826571404658,18.15356982442432,4.620084609630215,21.679085237370632,-3.525515412946312,0.0734347952162192,0.20255058248764723
Scottie Barnes,TOR,CHI,0,9.497320178208689,0.5369415094045316,4.010354107830882,0.7178380197058731,3.40581446564191,0.3187540848993421,16.334647334653496,4.112652638563024,19.26676548893382,-2.9321181542803245,0.06927087360051809,0.08417233471319657
RJ Barrett,TOR,CHI,0,7.843827456655678,0.5369415094045316,5.292317211620203,0.555339399384707,5.232395692414661,0.316435304198442,16.329529537672876,4.392490794416199,18.523058168474265,-2.1935286308013886,0.10399244024586363,0.0983611209382062
Immanuel Quickley,TOR,CHI,0,5.9733486036223535,0.47047909361320434,3.404623984860869,0.7336840549789277,7.036241804445408,0.35486433961696273,15.609323508586485,4.595147447827082,16.83928557675712,-1.2299620681706358,0.16146895125123373,0.08215144421792459
Matas Buzelis,CHI,TOR,1,5.752408117954171,0.5302271196032156,3.457873535022331,0.6227075745764533,5.479560313049797,0.3522157916243551,14.043372636758551,4.218498217077048,14.811331921844872,-0.7679592850863202,0.17590543553647653,0.029638857847880895
Anfernee Simons,CHI,TOR,1,5.267944112481536,0.47736210720641115,1.6986819306082652,0.7707282521514476,6.136614880671031,0.37466640115331595,13.236206197513244,4.300828148520083,14.037271011729873,-0.8010648142166286,0.12299050472860906,0.02079001532625252
Sandro Mamukelashvili,TOR,CHI,0,4.228628898046432,0.5977960348679612,2.5426169659938145,0.5982987482683172,4.0682885043043955,0.3200728402834779,10.483405694436343,3.5561551370926976,10.674301851449654,-0.1908961570133112,0.1732699750833686,0.000600808459339075
Isaac Okoro,CHI,TOR,1,3.8894773311133184,0.5302271196032156,2.2477104717532743,0.6924489707189563,3.605856295838097,0.3339078255203505,9.293108431362702,3.4017435146735577,8.739118057922058,0.5539903734406444,0.22631855217435515,9.3706459854348e-05
Jaden Ivey,CHI,TOR,1,3.502615811809886,0.4827471592423251,1.438756504204479,0.6188693690874505,3.7377582398881324,0.36183700125277346,8.329535694951337,3.4067007514380663,8.404245799447912,-0.07471010449657456,0.13716625400882176,2.9999302163630226e-05
Collin Murray-Boyles,TOR,CHI,0,5.08675090896522,0.5764487264120468,1.6219032988645654,0.5254660408363271,1.1601768888977613,0.316435304198442,7.818120051457481,2.7623933198712853,7.623839684177478,0.19428036728000375,0.16648001688271452,1.418915760997841e-07
Patrick Williams,CHI,TOR,1,2.910987150385456,0.4378195385430986,1.2186211979840829,0.6185863625390264,3.8422865080410626,0.3656512110080589,7.517606700062645,3.342822784721192,7.3818769539935545,0.1357297460690905,0.13927763543279026,7.375155597788563e-06
Jamal Shead,TOR,CHI,0,2.632138915341024,0.4312310266213676,1.7509996484505463,0.5982987482683172,3.8870080433306624,0.3175243647942563,7.02040011095755,3.2533217525378673,7.454194333016213,-0.4337942220586628,0.09997518870748623,2.0682676965533275e-06
Ja'Kobe Walter,TOR,CHI,0,2.085238172486283,0.5266999172698767,1.2013139282341863,0.6282512691728437,3.4629776097380907,0.3199910286249408,6.275681848296861,3.0235170780275253,6.129745813531181,0.14593603476567996,0.10420672183336532,9.928506455869623e-08
Rob Dillingham,CHI,TOR,1,3.875482099564217,0.4382620061678989,0.964062578305628,0.6487161501557911,1.1344697925238703,0.3337182231278049,5.158135814012988,2.511242169164021,4.896450900225793,0.26168491378719505,0.15040182987030282,9.961476088449217e-12
Guerschon Yabusele,CHI,TOR,1,1.639721582565576,0.47716558374293744,0.7191394329013406,0.6545576278962779,2.1274874747425327,0.3337182231278049,4.165499632961385,2.4609624904964713,3.629798769951401,0.5357008630099842,0.1286211636048522,2.131073095767988e-13
Nick Richards,CHI,TOR,1,2.6536407897203715,0.47189696597300296,1.4740544632388959,0.6544658822965195,0.2723413634332595,0.3556033403689974,3.7597449254118027,1.881558652288241,4.032963176132143,-0.27321825072034045,0.038097547861769554,0.0
