player,team,opp,is_home,pred_fg2a,pred_fg2_rate,pred_fta,pred_ft_rate,pred_fg3a,pred_fg3_rate,pred_pts,sd_pts,baseline_pts,delta_pts,p_over_baseline_3,p_over_22_5
Jalen Brunson,NYK,DET,1,11.449343150185443,0.5023933350191564,6.449821838150939,0.8061832058178572,7.088086202150184,0.3299085381535272,23.719145896208005,5.153588634482656,26.680543124987935,-2.96139722877993,0.1197620628426661,0.6306526078283263
Cade Cunningham,DET,NYK,0,11.640651370991284,0.4644303581683755,6.686539571926981,0.7285350847849862,5.661730616629269,0.34204705009040576,21.49365721251106,4.9367747744451025,25.497671671129382,-4.004014458618322,0.07037590067754396,0.4591539115466859
Karl-Anthony Towns,NYK,DET,1,8.56225353898023,0.46870698582244796,6.640171586427791,0.785748849775205,4.874916974175709,0.3403748263733521,18.22178033856035,4.415564589464016,19.679856428319965,-1.458076089759615,0.15762602297277273,0.1960930820808
Mikal Bridges,NYK,DET,1,6.727753463464234,0.5688021423149211,1.6575877778649735,0.7795569238190259,5.312140045386716,0.36521508103310313,14.765926166447912,4.238983649000901,15.23296265037234,-0.46703648392442787,0.16439230973126318,0.043952066516020794
Tobias Harris,DET,NYK,0,6.310555546541599,0.4644303581683755,3.0138965517302023,0.773304421959345,4.100869192316775,0.3405169997621545,12.38153369757875,3.885251715701091,13.325944894294725,-0.9444111967159756,0.12332029895725038,0.006649967858915307
Josh Hart,NYK,DET,1,5.407850657675328,0.5280298177433237,2.5512106008869417,0.6743660466793229,4.010646266806284,0.36521508103310313,11.825708105457649,3.7840843938123245,11.653332494004548,0.17237561145310032,0.21243850210546822,0.0035864739272871704
Duncan Robinson,DET,NYK,0,2.974423462850573,0.5275035241576032,1.7457162424259258,0.6148409244832146,7.146561155997958,0.3431788791814961,11.569022048912185,4.228096765910069,11.787611306881084,-0.21858925796889928,0.1904573898259988,0.006811333504515571
Landry Shamet,NYK,DET,1,2.5855505558610226,0.4769683365728864,2.097639602970927,0.6909373211249844,5.205221497839629,0.36131179941378017,9.55791282066586,3.7200368743774623,9.134202885847952,0.423709934817909,0.16849754515323534,0.0004119858878502969
Isaiah Stewart,DET,NYK,0,4.615742844390853,0.586986576620168,2.510473235572907,0.6201852860222108,2.364253613634403,0.358824083397819,9.520770150727973,3.156402439314554,9.525250257191189,-0.00448010646321606,0.16532891241471148,3.84880991629033e-05
Ausar Thompson,DET,NYK,0,6.73576869936062,0.4688556179023039,3.2518058041100617,0.5476869127214516,0.5792957579409606,0.34204705009040576,8.691616688194955,2.947631332429062,10.615840933726417,-1.9242242455314624,0.05936951468276064,3.1667108930655274e-06
Caris LeVert,DET,NYK,0,3.6529215752356037,0.4659836252691521,1.7970296680241502,0.5587697160030785,3.5395347699390305,0.34204705009040576,8.040591314405543,3.353840061748178,7.997417159538975,0.04317415486656717,0.1881637027356251,1.5758660722287043e-05
Paul Reed,DET,NYK,0,4.239914317169289,0.5709979617767097,1.4480510510972482,0.5197696175317513,0.8686702946649022,0.34313662058520483,6.48883557536058,2.5055955615525773,5.902087443146619,0.5867481322139616,0.20710217542223752,2.9965951942045876e-10
Mohamed Diawara,NYK,DET,1,1.270672917791321,0.47737525177441886,0.5340189663397996,0.6585771597038227,1.6788353728577607,0.36131179941378017,3.384617390647397,2.2079184596552164,2.593421828844499,0.7911955618028981,0.12752092389915948,0.0
