player,team,opp,is_home,pred_fg2a,pred_fg2_rate,pred_fta,pred_ft_rate,pred_fg3a,pred_fg3_rate,pred_pts,sd_pts,baseline_pts,delta_pts,p_over_baseline_3,p_over_22_5
Pascal Siakam,IND,WAS,0,11.99207483649669,0.46527864593272383,6.095836086763705,0.5354537210367225,5.021215981699271,0.34595889468475216,19.634753792191976,4.86579465860259,23.91643381364012,-4.2816800214481425,0.0660382433782839,0.31344934105265226
Alex Sarr,WAS,IND,1,9.924721812716294,0.5474688184757329,3.8566562390188426,0.5945181873612957,3.2243832059553794,0.33082943732320474,16.35996637073519,4.146003204129035,17.323858554304305,-0.963892183569115,0.1528587466528304,0.08685890333606122
Andrew Nembhard,IND,WAS,0,7.304744977450397,0.46054637058348413,3.8377535651943746,0.7446100826191581,5.299298549676384,0.3349057154758287,14.910273690954954,4.314226428597909,17.547678832604106,-2.637405141649152,0.07927541046677367,0.050156652020441894
Kyshawn George,WAS,IND,1,6.280198179815684,0.48057055844074426,3.3365316670798406,0.7151912058682789,5.4735830194601265,0.3411941669117958,14.025078594223418,4.245414592355114,15.134208236443818,-1.1091296422204007,0.11875252076084397,0.030157845722990295
Aaron Nesmith,IND,WAS,0,5.599061101667399,0.42508903788869257,3.278562497807148,0.7315819470385538,6.25862581897585,0.34096853209285194,13.560719504452788,4.332957112445313,14.11457889482083,-0.5538593903680429,0.14299729180955834,0.02572571237208998
Bilal Coulibaly,WAS,IND,1,5.056659764159629,0.46746685856052467,3.9432635345418428,0.6872306214862354,3.781244543861215,0.3368697762459803,11.258934169314994,3.6721948890241034,10.636441184150282,0.6224929851647119,0.24322861256691364,0.0017224381962209212
Jarace Walker,IND,WAS,0,4.967730174668168,0.45509966027384385,2.7684101945792574,0.6294413801886953,4.4969386595091745,0.3349057154758287,10.782327941093138,3.81947342009485,10.88736199542854,-0.1050340543354018,0.19896397031736412,0.0016571903252228237
Bub Carrington,WAS,IND,1,3.9910780547669478,0.4539385563643086,1.6255855408123714,0.6908427425420501,5.347890342147504,0.3590369227837232,10.506702669776178,3.921831200128192,10.401340141586594,0.10536252818958403,0.17521030424441864,0.0016915698474424534
Jay Huff,IND,WAS,0,2.9937272916970574,0.6209175158443591,1.129145286542219,0.7161815802430146,4.442833794354341,0.3349485887232885,8.990751209845111,3.4576364911944877,8.124636298269406,0.8661149115757052,0.19609522250182354,8.412221247172669e-05
Justin Champagnie,WAS,IND,1,4.061169390779964,0.5871642711624269,1.7103776712048053,0.6410672887425704,2.4381088001394216,0.33082943732320474,8.28540879466268,3.0313482670222434,7.584002812060207,0.7014059826024734,0.213417325554903,3.0304371393397034e-06
Will Riley,WAS,IND,1,4.1527111568758555,0.46746685856052467,1.8702217255535554,0.6851359546271066,2.754333750501323,0.3293244498589443,7.8850741666648,3.164447319081497,7.356345349841048,0.5287288168237518,0.17287268154215807,4.088984221994885e-06
Jamir Watkins(TW),WAS,IND,1,2.7246024008379788,0.5485917540541938,1.6926135142231253,0.6547871787051234,2.754333750501323,0.3460578519915737,6.9571669120674215,2.948095317784501,5.4846419540926945,1.472524957974727,0.26534159351935105,1.675447762750082e-07
Ben Sheppard,IND,WAS,0,2.4513079306687677,0.4680923246388285,0.9625352538202961,0.5787929844923227,3.9329501236589515,0.33231714171326016,6.772945738367872,3.2449741296062857,6.627320572149545,0.145625166218327,0.14724576863261118,1.3494059200591657e-06
Sharife Cooper(TW),WAS,IND,1,3.064434885780802,0.5285702310351144,0.7966218028029486,0.6228048872365658,1.961175468357935,0.337174652555081,5.719454034632731,2.6807204188960414,5.100943409162587,0.6185106254701438,0.12518762048727183,6.269383345802737e-10
Kam Jones,IND,WAS,0,2.293415254994709,0.4939436471051865,0.5510375591930952,0.588324102769278,1.5421992254352168,0.33382899813046263,4.134316935395807,2.3480263451831043,3.5249661426132013,0.6093507927826058,0.12513355872575027,1.3822276656583199e-14
Anthony Gill,WAS,IND,1,1.699010555219475,0.5474688184757329,0.7341352345422724,0.6824671235760891,0.7759874484320277,0.33082943732320474,3.1314922371254434,1.8408939598502925,2.1609196151281105,0.970572621997333,0.09775109878475385,0.0
