player,team,opp,is_home,pred_fg2a,pred_fg2_rate,pred_fta,pred_ft_rate,pred_fg3a,pred_fg3_rate,pred_pts,sd_pts,baseline_pts,delta_pts,p_over_baseline_3,p_over_22_5
Tyrese Maxey,PHI,ATL,1,11.601117069408916,0.5035463386109261,5.716504368385243,0.7626990724535372,8.779904867841404,0.3476429308432128,25.2001882099821,5.527720970553601,28.398734703934448,-3.198546493952346,0.10757592262655113,0.7186833047584038
Jalen Johnson,ATL,PHI,0,11.601117069408916,0.5375155081455208,5.919398826739825,0.6414302856024964,4.849309152333945,0.3339078255203505,21.126109176264112,4.754389040863093,23.025038926178254,-1.8989297499141422,0.12317761927442061,0.4270823631674564
CJ McCollum,ATL,PHI,0,7.669953783845212,0.45846518582840645,3.276247394579506,0.6757745002076218,6.6706467154923885,0.3700746287360167,16.652729339235183,4.725502914473006,18.65554028813431,-2.0028109488991284,0.11989160846002844,0.12890614602828
Nickeil Alexander-Walker,ATL,PHI,0,6.5074560542396815,0.46001952405568425,3.901516301445141,0.8287645026703674,7.322893305889604,0.33077409444821493,16.487222096986336,4.648511614511631,19.92329594853069,-3.4360738515443536,0.0747471474678768,0.11782630943046196
Onyeka Okongwu,ATL,PHI,0,6.511614441594248,0.5369415094045316,2.9878442684898197,0.5484028490573745,5.414248781955131,0.3355066705558202,14.0808042304235,4.252011158715486,15.81616336176655,-1.735359131343051,0.12188875620228035,0.03126922100385976
VJ Edgecombe,PHI,ATL,1,6.366530587936943,0.4709944286242098,2.8196567084443878,0.6695492121913551,5.334079337981654,0.3403748263733521,13.331858786538412,4.212768811817507,15.21104269997782,-1.8791839134394088,0.08385840065938444,0.019814865060636733
Kelly Oubre Jr.,PHI,ATL,1,5.752408117954171,0.5330507087965016,3.4505883289957944,0.6173184328425634,4.869317407805043,0.3395382796135134,13.222721195379734,4.0459877868449645,13.651028349053727,-0.42830715367399286,0.18092312719142523,0.01502698098765648
Quentin Grimes,PHI,ATL,1,4.401945796786389,0.5405237593863981,3.2465985339246837,0.7484599050605677,5.336849034033741,0.33303814981867164,12.520784396327798,3.9564160710136353,12.447958977507687,0.07282541882011095,0.1956579673283373,0.008289587314688318
Dyson Daniels,ATL,PHI,0,7.704218829791759,0.5369415094045316,2.4553036941609534,0.5473202001250458,1.68908374442546,0.33502754752752256,11.314935837148738,3.4142642947433894,12.230663234233521,-0.9157273970847832,0.11036939161372872,0.0008754120940063781
Jock Landale,ATL,PHI,0,5.2290751431100935,0.5810750210904227,2.2340771279768705,0.6275979326509042,3.096430505113443,0.36845530326446646,10.901760807429916,3.4782865694869813,10.974416282113278,-0.07265547468336209,0.2096947312762515,0.0007095932571630215
Zaccharie Risacher,ATL,PHI,0,5.444503270459682,0.488647900231272,1.6515907500795852,0.5513975861243768,4.410110591880489,0.3339078255203505,10.649284648801306,3.8311930519368893,10.694232247153314,-0.044947598352008455,0.18731738735848347,0.0015247168060494865
Dominick Barlow(TW),PHI,ATL,1,4.713136866302042,0.6206077344787027,2.4867820233776365,0.6337711667455095,1.910576312294543,0.33303814981867164,9.334953530567194,2.972466635158208,8.109753199931207,1.225200330635987,0.23064337285343983,1.0185426467856917e-05
Corey Kispert,ATL,PHI,0,2.794735557411774,0.5360875175847739,2.2365482471158424,0.7482529490153598,4.4440992746930235,0.3356740348401568,9.145255720376383,3.4814742730227275,9.08714377645595,0.05811194392043362,0.13505050948627928,0.00011110539310199563
Trendon Watford,PHI,ATL,1,3.873093407386144,0.5062247162315698,1.501942296863208,0.5447307315233909,1.0313702917828582,0.33303814981867164,5.7699223095209655,2.511334306236341,6.166936404895852,-0.3970140953748862,0.06899548259436472,5.141503889305454e-11
