player,team,opp,is_home,pred_fg3a,pred_rate,pred_fg3,baseline_fg3,delta_fg3,p_over_baseline_2,p_ge_2,p_ge_3
Stephen Curry,GSW,PHI,1,9.13232551737069,0.32051697953820246,2.927065390987306,1.2575230606381371,1.6695423303491688,0.3364325968286833,0.7896900667953451,0.56027258610285
Moses Moody,GSW,PHI,1,6.7428032308848405,0.33165748297168524,2.236301147728613,1.240740740740741,0.9955604069878721,0.18783213615151573,0.6541914881695234,0.3870032542267696
Paul George,PHI,GSW,0,6.318655693581043,0.3236293526552495,2.0449024517650396,1.222523360705473,0.8223790910595665,0.15106864115227336,0.6060115113208798,0.33547533672580676
Draymond Green,GSW,PHI,1,5.086394105816548,0.3280769673532207,1.66872875299959,1.222079589216945,0.4466491637826451,0.08856792251591372,0.4969805876277914,0.23454555227722929
De'Anthony Melton,GSW,PHI,1,5.044202536735681,0.32689122497354595,1.6489055462481947,1.2237224761113419,0.42518307013685286,0.08569714212269297,0.49072085432975454,0.2293537165091587
Al Horford,GSW,PHI,1,4.591747961078168,0.3304630811676417,1.517403179163128,1.2394239423942395,0.27797923676888847,0.06784570925928235,0.44798236922924883,0.1955342403639465
Will Richard,GSW,PHI,1,4.571143228695383,0.3278868191033562,1.4988176129227746,1.2626582278481013,0.23615938507467327,0.06549413987684571,0.44177878234666335,0.1908564235102349
Brandin Podziemski,GSW,PHI,1,4.423795321641544,0.3243724232956253,1.4349572086447178,1.238834487700024,0.19612272094469385,0.05774617972460594,0.4201744669138404,0.17501204247187663
Gui Santos,GSW,PHI,1,3.8311230563113803,0.33350330309140097,1.2776921938294687,1.2380952380952381,0.03959695573423061,0.04090179097529356,0.36525342812987893,0.13778149528081174
Quentin Grimes,PHI,GSW,0,3.5315100807989293,0.32614366053152416,1.1517796249557415,1.2826735218508998,-0.1308938968951583,0.02973709629321497,0.31987888927296293,0.1102277378228127
Kelly Oubre Jr.,PHI,GSW,0,3.0421580423740533,0.3690650349759616,1.122754164311183,0.0,1.122754164311183,0.30929314944840713,0.30929314944840713,0.10420837693330043
Joel Embiid,PHI,GSW,0,2.946475006494013,0.3653835792266646,1.0765935839746923,0.0,1.0765935839746923,0.2923918031662949,0.2923918031662949,0.0949155283426385
Jonathan Kuminga,GSW,PHI,1,2.768482097970748,0.31692874953768163,0.8774115694273266,1.2578995044492993,-0.38048793502197276,0.012372130276125937,0.21926349376781873,0.05918915567872374
Andre Drummond,PHI,GSW,0,2.2107899884047657,0.3318801915678124,0.7337174048679754,1.2652238408580883,-0.5315064359901128,0.006764488346583941,0.16760610005430576,0.03837167152094778
Dominick Barlow(TW),PHI,GSW,0,2.1695963456925296,0.3291833337547404,0.7141949579771691,1.2327044025157232,-0.5185094445385541,0.006165886080282457,0.1607539920542601,0.03589131705496251
